projektname;kurzzusammenfassung;art;einsatzbereich;status;organisation;webseite_link;quelle;lizenz;lizenz_organisation
CariFIX – ein Lernendes System für Sozialberater*innen;Das Projekt erforscht die Nutzung von vorhandenen Daten zur Vernetzung von Sozialberater*innen durch die intelligente, webbasierte Software „CariFIX“. Über die Analyse von Falldokumentationen kann schnell die richtige Ansprechperson aus dem deutschlandweiten Expertisenetzwerk der Caritas für einen Austausch über eine aktuelle Fachfrage gefunden und Klient*innen so schneller geholfen werden.;['Datenanalyse', 'Wissensorganisation'];['Organisation & Professionalisierung', 'Soziale Dienste'];Unbekannt;Civic Coding;https://www.caritas-digital.de/projekte/lernende-systeme-in-der-beratung/, https://www.civic-coding.de/angebote/meldungen/das-projekt-carifix-civic-coding-im-gespraech;https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/carifix-ein-lernendes-system-fuer-sozialberaterinnen/49;CC-BY-NC-ND 4.0;https://www.civic-coding.de
"Caritas ""Lernende Systeme in der Beratung""";CariFIX ist eine webbasierte Plattform, über die sich Caritas-Berater vernetzen und zu spezifischen Fragen aus ihrem Arbeitsalltag austauschen können – deutschlandweit.;['Datenanalyse', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Webanwendungen', 'Wissensorganisation'];['Flucht & Migration', 'Soziale Dienste'];Unbekannt;Deutscher Caritasverband e.V.;https://www.caritas-digital.de/projekte/lernende-systeme-in-der-beratung/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Casablanca.AI;Unser zum Patent angemeldetes Casablanca-Verfahren nutzt neueste KI-Technologien (GANs mit zusätzlichen Diskriminatoren), um die Kamera virtuell hinter die Augen des Gesprächspartners zu bewegen und somit Videoconferencing zu revolutionieren. Voilà, der Blickkontakt ist zurück!;['Webanwendungen'];['Arbeit & Soziales', 'Klima & Umwelt'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/casablancaai/323;https://www.civic-coding.de/community/projekt/casablancaai/323;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Cemas (Center für Monitoring, Analyse und Strategie);;[];['Anti Dismkriminierung', 'Inklusion & Teilhabe'];Unbekannt;CeMAS - Center für Monitoring, Analyse und Strategie;;CeMAS - Center für Monitoring, Analyse und Strategie;CC-BY 4.78;https://civic-data.de/
Chancen von KI zur Förderung digitaler Teilhabe von Menschen mit Lernschwierigkeiten;Unser Ziel ist es, KI praxisnah anzuwenden. Analysieren von KI als wirkungsvolles Werkzeug um die Effektivität und Qualität unserer Leistungsangebote und Prozesse in der Behindertenhilfe zu steigern. Chancen von KI zur Unterstützung und Förderung unserer Klientel entdecken.;['Webanwendungen'];['Anti Dismkriminierung', 'Inklusion & Teilhabe', 'Soziale Dienste'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/chancen-von-ki-zur-foerderung-digitaler-teilhabe-von-menschen-mit-lernschwierigkeiten/1395;https://www.civic-coding.de/community/projekt/chancen-von-ki-zur-foerderung-digitaler-teilhabe-von-menschen-mit-lernschwierigkeiten/1395;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Changemaker Academy;Wie kann ich Gesellschaft wirksam auf meine Weise mitgestalten? Mit Open-Source Materialien, Events und Workshops hilft die Changemaker Academy Menschen dabei ihre Werte, Talente und Leidenschaften zu entdecken und den für sich passenden Wirkungsweg zu finden.;['Bildverarbeitung', 'Datenanalyse', 'Datenanwendung für Öffentlichkeit', 'Datenerhebung', 'Datenmanagement', 'Datenreporting', 'Digitale Plattformen', 'Fortbildung', 'Interne Datenanwendung', 'Unterstützungstools', 'Webanwendungen'];['Anti Dismkriminierung', 'Arbeit & Soziales', 'Bildung', 'Demokratie & Soziale Rechte', 'Flucht & Migration', 'Gesundheit', 'Inklusion & Teilhabe', 'Internationale Projekte', 'Jugendhilfe', 'Klima & Umwelt', 'Organisation & Professionalisierung', 'Soziale Dienste', 'Sport', 'Stadtentwicklung'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/changemaker-academy/1088;https://www.civic-coding.de/community/projekt/changemaker-academy/1088;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Chatbot Bobbi;„Bobbi“ ist ein mehrsprachiger Chatbot für Fragen rund um die Berliner Verwaltung. Er beherrscht neun Sprachen und basiert auf DeepL.;[];[];Unbekannt;DAI-Labor der TU Berlin in Kooperation mit ITDZ Berlin;https://service.berlin.de/chatbot/chatbot-bobbi-606279.php;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Chatbot Familie;Der Chatbot soll die Informationssuche der Nutzer optimieren und individuelle Informationen schneller als bisher bereitstellen.;[];[];Abgeschlossen;BMFSFJ;https://digitalstrategie-deutschland.de/digitale-familienassistenten/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Chatbot gegen rechte Hetze;Wir bauen einen Chatbot, der rechter Hetze auf Social Media etwas entgegensetzt. Mit Argumenten, Fakten und Humor setzt der Bot in Kommentaren auf Social Media rechter Hetze eine klare Haltung entgegen. Mit diesem Angebot entlasten wir Community-Manager und Einzelpersonen.;['Künstliche Intelligenz'];['Anti Dismkriminierung', 'Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/chatbot-gegen-rechte-hetze/983;https://www.civic-coding.de/community/projekt/chatbot-gegen-rechte-hetze/983;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Chatty Maps;Chatty Maps ist ein Projekt, das eine Methode zur Erstellung von Klangkarten städtischer Gebiete aus georeferenzierten Social-Media-Bild-Tags vorschlägt. Es erfasst angenehme und unangenehme Geräusche, untersucht die Beziehung zwischen Klanglandschaften und Emotionen und kartiert Bereiche nach ihrer Geräuschwahrnehmung.;['Datenanalyse', 'Datenerhebung', 'Datenmanagement', 'Karten & Verzeichnisse', 'Virtuelle Assistenz'];['Klima & Umwelt', 'Stadtentwicklung'];In Betrieb;Nokia Bell Labs, Turin University, Goodcitylife.org;https://goodcitylife.org/chattymaps/project.php, https://goodcitylife.org/chattymaps/index.php;https://goodcitylife.org/chattymaps/project.php;CC-BY 4.56;https://civic-data.de/
CheckMate;CheckMate ist ein KI-Chatbot, der komplexe Netzwerke aus u.a. Politiker*innen, Gesetzestexten, Abstimmungen, und Nebentätigkeiten analysiert. Alle Analysen sind transparent durch Quellen belegt und für alle Bürger*innen zugänglich.;['Datenanalyse', 'Datenreporting', 'Künstliche Intelligenz', 'Open-Source-Software', 'Webanwendungen'];['Demokratie & Soziale Rechte', 'Gesundheit', 'Inklusion & Teilhabe'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/checkmate/1411;https://www.civic-coding.de/community/projekt/checkmate/1411;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Cider;Cider ist eine Sammlung von Software-Tools zur Bekämpfung von Armut mithilfe von Mobilfunkdaten. Es wurde gemeinsam vom Global Policy Lab der UC Berkeley, dem Center for Effective Global Action (CEGA) der UC Berkeley und der gemeinnützigen Organisation GiveDirectly entwickelt. Cider basiert auf den in Aiken et al. (2022) beschriebenen Methoden zur Identifizierung von Armut. Ein Ziel von Cider ist es, diese Methoden benutzerfreundlicher und kontextübergreifend replizierbar zu machen. Ein zweites Ziel ist der einfache Vergleich von Identifizierungsmethoden, einschließlich des von Cider entwickelten mobilfunkbasierten Ansatzes: Während die empirischen Ergebnisse zur Genauigkeit des mobilfunkbasierten Ansatzes in Aiken et al. (2022) vielversprechend sind, ist noch nicht bekannt, wie dieser im Vergleich zu Alternativen in verschiedenen Kontexten abschneidet. Da Cider mit digitalen Daten arbeitet, hat es zwei wesentliche Stärken: Es kann Menschen schnell identifizieren und erreichen (Geschwindigkeit) und dies in einer Größenordnung von Millionen von Menschen tun (Skalierbarkeit).;['Automatisierung', 'Datenanalyse', 'Datenmanagement', 'Open-Source-Software'];['Arbeit & Soziales', 'Internationale Projekte', 'Klima & Umwelt'];Unbekannt;UC Berkeley Global Policy Lab;https://global-policy-lab.github.io/cider-documentation/intro.html;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Circularity Tool Add-on: Smarter UX & AI for Decision-Making;Our project enhances the Circularity Tool add-on, developed in collaboration with BBSR and IBO. We improved the existing user flow of with AI-powered guidance and UX/UI enhancements, making circularity metrics more accessible and actionable for both experts and non-experts.;['Automatisierung', 'Datenanalyse', 'Datenreporting', 'Webanwendungen'];['Klima & Umwelt'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/circularity-tool-add-on-smarter-ux-ai-for-decision-making/1355;https://www.civic-coding.de/community/projekt/circularity-tool-add-on-smarter-ux-ai-for-decision-making/1355;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Citizen Knowledge Graph;"Ein Tool für Bürger um ""Bürokratie-relevante"" Daten (Steuernummer, etc.) zu speichern. Dies erleichtert das Ausfüllen von Formularen und ermöglicht das Durchführen von Queries auf den eigenen Daten, um kontinuierlich neue Berechtigungen und Möglichkeiten zu entdecken.";['Datenanwendung für Öffentlichkeit', 'Künstliche Intelligenz', 'Webanwendungen'];['Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/citizen-knowledge-graph/913;https://www.civic-coding.de/community/projekt/citizen-knowledge-graph/913;CC-BY-NC-ND 4.0;https://www.civic-coding.de
CitizenContract;CitizenContract wird eine Plattform für die Generierung und Verwaltung von digitalen Verträgen in natürlicher Sprache. Diese benutzerfreundliche App dient als Schnittstelle für Nutzer, um Verträge zu definieren, zu bearbeiten und über ein digitales Vertragssystem zu verifizieren;['Datenanwendung für Öffentlichkeit', 'Künstliche Intelligenz', 'Open-Source-Software', 'Webanwendungen'];[];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/citizencontract/988;https://www.civic-coding.de/community/projekt/citizencontract/988;CC-BY-NC-ND 4.0;https://www.civic-coding.de
City-App für Bad Wimpfen;Der Markt der CityApps ist sehr groß. Fast jede größere Stadt und vor allem Touristenorte bieten in den App Stores eigene Apps an, die den Besucher über das Geschehene vor Ort informieren sollen. …;['Webanwendungen'];['Stadtentwicklung'];Abgeschlossen;Code for Heilbronn, Code for Germany;http://blog.opendatalab.de/opendata/2015/04/29/bad-wimpfen-app/, https://itunes.apple.com/app/apple-store/id989719442?pt=74937800&ct=ODL&mt=8;https://codefor.de/projekte/hn-bad-wimpfen-app/;CC-BY 4.0;https://codefor.de
CityConnect;CityConnect sieht aus wie ein Computerspiel im Retro Style, ist aber kein Spiel, sondern ein virtueller Raum, in dem sich Menschen zufällig als Avatare treffen. Ein virtueller Raum ist dabei einer …;['Karten & Verzeichnisse', 'Open-Source-Software', 'Webanwendungen'];['Stadtentwicklung'];Abgeschlossen;OK Lab Leipzig, Code for Germany;https://cityconnect.now.sh/index, https://github.com/CityConnect11/app, https://devpost.com/software/1_025_e-kulturangebote_virtuelles_pizzaessen/;https://codefor.de/projekte/le-cityconnect/;CC-BY 4.0;https://codefor.de
Civic Tech Field Guide;Der Civic Tech Field Guide ist die weltweit größte Sammlung von Projekten, die Technologie für das Gemeinwohl nutzen. Es verfolgt insbesondere zivilgesellschaftliche und gemeinwohlorientierte KI-Projekte.;['Datenerhebung', 'Karten & Verzeichnisse', 'Wirkungsmessung', 'Öffentliche Daten'];['Demokratie & Soziale Rechte', 'Inklusion & Teilhabe', 'Klima & Umwelt'];In Betrieb;;https://civictech.guide/;https://publicinterest.ai/tool/map/project/civic-tech-field-guide;CC-BY 4.0;https://publicinterest.ai/
Civic-Sync – Plattform für Mapping, Übersetzung und kollaborative Pflege von Angebotsdaten für die Zivilgesellschaft;Die Civic-Sync Plattform erlaubt z.B. soziale, kulturelle oder medizinische Angebotsdaten kollaborativ und partizipativ aufzubereiten und übersichtlich, mehrsprachig und barrierearm – aber insbesondere auch unterstützt durch KI-Chatbots – zur Verfügung zu stellen.;['Datenanwendung für Öffentlichkeit', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Open-Source-Software', 'Webanwendungen'];['Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/civic-sync-plattform-fur-mapping-uebersetzung-und-kollaborative-pflege-von-angebotsdaten-fur-die-zivilgesellschaft/1132;https://www.civic-coding.de/community/projekt/civic-sync-plattform-fur-mapping-uebersetzung-und-kollaborative-pflege-von-angebotsdaten-fur-die-zivilgesellschaft/1132;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Civic-Sync – Mapping Plattform für soziale Angebote;Die Civic-Sync-Plattform erlaubt soziale und kulturelle Angebotsdatenbanken kollaborativ aufzubauen und mehrsprachig und barrierearm zur Verfügung zu stellen – DSGVO-konform, unterstützt durch KI-Technologien und offene Schnittstellen.;['Digitale Plattformen', 'Webanwendungen'];['Bildung', 'Inklusion & Teilhabe', 'Kultur', 'Soziale Dienste'];In Betrieb;Civic Coding;https://place-making.org/;https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/civic-sync-mapping-plattform-fuer-soziale-angebote/43;CC-BY-NC-ND 4.0;https://www.civic-coding.de
CivicGuard: CounterSpeech & Crisis Communication Tool für Redaktionen, NGOs & Unternehmen im Umgang mit digitaler Gewalt;CivicGuard ist ein KI-Tool, das Redaktionen und Community-Managern hilft, auf digitale Gewalt und Online-Hass effizient zu reagieren. Es analysiert Kommentare, bietet passgenaue Gegenrede-Strategien an und unterstützt bei der Krisenkommunikation, um Online-Diskurse zu moderieren.;['Digitale Plattformen', 'Webanwendungen'];['Anti Dismkriminierung', 'Bildung', 'Demokratie & Soziale Rechte', 'Inklusion & Teilhabe', 'Soziale Dienste'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/civicguard-counterspeech-crisis-communication-tool-fur-redaktionen-ngos-unternehmen-im-umgang-mit-digitaler-gewalt/1264;https://www.civic-coding.de/community/projekt/civicguard-counterspeech-crisis-communication-tool-fur-redaktionen-ngos-unternehmen-im-umgang-mit-digitaler-gewalt/1264;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Claim;Mit Claim findest du anonymisiert heraus, auf welche staatlichen Förderungen du Anspruch hast und wir helfen dir auch bei der Beantragung dieser. Hierzu füllst du einfach ein Formular in deiner bevorzugten Sprache aus und Claim berechnet KI-unterstützt deine Ansprüche.;['Datenanwendung für Öffentlichkeit', 'Datenreporting', 'Künstliche Intelligenz', 'Open-Source-Software', 'Sprachtechnologie', 'Webanwendungen'];['Anti Dismkriminierung', 'Arbeit & Soziales', 'Inklusion & Teilhabe', 'Soziale Dienste'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/claim/1001;https://www.civic-coding.de/community/projekt/claim/1001;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Claudette Tool;CLAUDETTE ist ein Tool, das KI nutzt, um potenziell unfaire Vertragsklauseln in Verbraucherverträgen und Datenschutzerklärungen zu identifizieren. Dabei kommen grammatikbasierte Ansätze zum Einsatz. Nutzer können Verträge innerhalb weniger Minuten per Copy-Paste prüfen lassen.;['Künstliche Intelligenz', 'Sprachtechnologie', 'Webanwendungen'];['Anti Dismkriminierung', 'Demokratie & Soziale Rechte'];Unbekannt;European University Institute Law Department, (led by professors Giovanni Sartor and Hans-W. Micklitz) & engineers from University of Bologna and University of Modena and Reggio Emilia;http://claudette.eui.eu/demo/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Clear Light EVA KI Integration;B2B-Immobilien müssen intelligent gesteuert sein, um hypereffizient und CO₂-neutral zu werden. Wir entwickeln dazu ein Tool, welches div. Lösungen evaluiert und Entscheidungshilfen gibt. Mittels KI werden die Prozesse optimiert und beschleunigt.;['Automatisierung', 'Künstliche Intelligenz'];['Klima & Umwelt', 'Stadtentwicklung'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/clear-light-eva-ki-integration/1202;https://www.civic-coding.de/community/projekt/clear-light-eva-ki-integration/1202;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Climate Argumentation Assistant;Klima-Missinformation konstruktiv, gemeinschaftlich und wissenschaftsfundiert begegnen, für eine bessere Klima-Debatte im wachsenden digitalen Raum und öffentliche Akzeptanz. Ungerechter (Meinungs)Macht durch verteiltes Wissen begegnen.;['Datenanalyse', 'Künstliche Intelligenz', 'Open-Source-Software', 'Wissensorganisation'];['Klima & Umwelt'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/climate-argumentation-assistant/982;https://www.civic-coding.de/community/projekt/climate-argumentation-assistant/982;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Climate TRACE;Climate TRACE ist eine gemeinnützige Koalition von Organisationen, die eine zeitnahe, offene und zugängliche Bestandsaufnahme darüber erstellen, wo genau Treibhausgasemissionen entstehen. Wir machen aussagekräftigen Klimaschutz schneller und einfacher, indem wir Technologie nutzen, um Treibhausgasemissionen (THG) mit beispielloser Detailgenauigkeit und Geschwindigkeit zu verfolgen und Informationen bereitzustellen, die für alle Parteien relevant sind, die auf das Ziel von Netto-Null-Emissionen hinarbeiten.;['Datenanalyse', 'Datenreporting', 'Wirkungsmessung', 'Öffentliche Daten'];['Klima & Umwelt'];Abgeschlossen;Climate TRACE;https://climatetrace.org/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
ClinicalBERT;Dieses Open-Source-KI-Modell zielt darauf ab, wiederverwendbare, transparente Technologie für Gesundheitssysteme, Krankenhäuser und Kliniker zu schaffen. Das Modell wurde mit klinischen Notizen von Zehntausenden Patienten aus Intensivstationen eines Krankenhauses im Raum Boston trainiert. Das KI-Modell wurde mit dem klinischen Urteil von Menschen hinsichtlich der Ähnlichkeit klinischer Konzepte und der Genauigkeit bei der Vorhersage der Wiederaufnahme von Patienten in ein Krankenhaus verglichen. Diese Arbeit wurde inzwischen mehr als 600 Mal zitiert und in mehreren akademischen medizinischen Zentren und Krankenhäusern für Aufgaben wie Datenbereinigung und die Extraktion strukturierter Konzepte wie Diagnose, Prognose usw. verwendet.;['Künstliche Intelligenz'];['Gesundheit'];Unbekannt;New York University, One Fact Foundation;https://arxiv.org/abs/1904.05342;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Co-Learning Plattform;Wir wollen einen Co-Learning Hub etablieren. Mehrere Akteure aus unterschiedlichen KMUs sollen digital und Vorort zusammenkommen und an Lösungen für geteilte Herausforderungen arbeiten. Dabei werden sie von Experten unterstützt.;['Digitale Plattformen', 'Open-Source-Software', 'Webanwendungen'];['Arbeit & Soziales', 'Bildung'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/co-learning-plattform/1218;https://www.civic-coding.de/community/projekt/co-learning-plattform/1218;CC-BY-NC-ND 4.0;https://www.civic-coding.de
CoCreate Network - semantisches WissensNetz;Es soll ein semantisches Netz über das Wissen eines Themenfeldes aufgebaut werden. Ohne Programmierkenntnisse können dann von jeder/-m leicht, natürlichsprachliche Abfragen erstellt werden. Die Inhalte können sowohl von Menschen, als auch von Maschinen verarbeitet werden.;['Datenanalyse', 'Datenanwendung für Öffentlichkeit', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Open-Source-Software', 'Wissensorganisation'];['Demokratie & Soziale Rechte', 'Inklusion & Teilhabe', 'Organisation & Professionalisierung', 'Soziale Dienste'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/cocreate-network-semantisches-wissensnetz/239;https://www.civic-coding.de/community/projekt/cocreate-network-semantisches-wissensnetz/239;CC-BY-NC-ND 4.0;https://www.civic-coding.de
CoDaKaI - Coding, Daten und Ka-I;Was hat es mit Coding, Daten und KI auf sich?Wir nutzen Ka-I (Karlsruher Intelligenz) um Licht ins digitale Dunkel zu bringen.In einer lockeren Workshopreihe könnt Ihr Euch mit den wichtigsten Grund ...;['Fortbildung', 'Öffentliche Daten'];['Demokratie & Soziale Rechte', 'Gesundheit', 'Inklusion & Teilhabe', 'Klima & Umwelt'];In Betrieb;OK Lab Karlsruhe, Code for Germany;https://ok-lab-karlsruhe.de/projekte/kai;https://ok-lab-karlsruhe.de/projekte/kai;CC-BY 4.0;https://codefor.de
CoVision;CoVision ist ein KI-basiertes Klassifikationssystem, das sehbehinderten und blinden Menschen ermöglicht, CoVid-Schnelltests selbstständig mit mobilen Geräten auszuwerten. Dies erhöht den Komfort und die Privatsphäre für diese Personengruppe und macht die Tests zugänglicher.;['Datenanalyse', 'Datenerhebung', 'Künstliche Intelligenz', 'Webanwendungen', 'Öffentliche Daten'];['Gesundheit', 'Inklusion & Teilhabe'];In Weiterentwicklung;MI4People, InnovationLab der Stadt München, Bayerischer Blinden- und Sehbehindertenbund, TUM.ai;https://covision.app/;https://de.mi4people.org/covision;CC-BY 4.72;https://civic-data.de/
Coach2Life;Coach2Life ist ein KI-gestütztes Werkzeug zur quantitativen und qualitativen Verbesserung medizinischer und beruflicher Rehabilitationsprozesse sowie zur Kostenreduktion insbesondere im Sozialsystem.;['Datenanalyse', 'Datenreporting', 'Künstliche Intelligenz', 'Webanwendungen'];['Arbeit & Soziales', 'Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/coach2life/773;https://www.civic-coding.de/community/projekt/coach2life/773;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Code Week Heilbronn;Basierend auf einer Idee der Young Advisors Gruppe der EU Kommission ging die “EU Code Week” vom 10. – 18. Oktober 2015 bereits in die dritte Runde. Letztes Jahr haben in ganz Europa über 150.000 …;['Fortbildung'];['Bildung', 'Jugendhilfe'];Abgeschlossen;Code for Heilbronn, Code for Germany;http://coworking-heilbronn.org/code-week-heilbronn-2015/, http://blog.opendatalab.de/opendata/2016/01/18/code-week-2015;https://codefor.de/projekte/hn-codeweek/;CC-BY 4.0;https://codefor.de
CognitiveWeeding;Ziel von „CognitiveWeeding“ ist es, neue Wege der Unkrautregulierung zu entwickeln, indem die Sichtweise auf die Begleitflora von Ackerkulturen verändert wird. Bei der Planung der Regulierungsmaßnahmen muss abgewogen werden, inwieweit Unkräuter bekämpft oder toleriert bzw. vorübergehend nicht bekämpft werden, um die pflanzliche Biodiversität zu erhöhen und Lebensräume sowie Nahrungsquellen für Insekten zu schaffen oder zu erhalten.;[];[];Unbekannt;Hochschule Osnabrück, AMAZONEN-WERKE H. DREYER SE & Co. KG;https://cognitive-weeding.de/projekterklaerung/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
Comms4Good;Im Projekt Comms4Good entwickeln die IU Internationale Hochschule, das Start-up Producer Media UG und die gemeinnützigen Aktiengesellschaft Phineo einen KI-basierten, virtuellen Assistenten, der die Öffentlichkeitsarbeit von sozialen und gemeinnützigen Organisationen unterstützt.;['Datenanalyse', 'Digitale Plattformen', 'Webanwendungen'];['Bildung', 'Gesundheit', 'Inklusion & Teilhabe', 'Soziale Dienste'];Unbekannt;Civic Coding;https://comms4good.de/;https://www.civic-coding.de/community/projekt/comms4good/1237;CC-BY-NC-ND 4.0;https://www.civic-coding.de
ConnectCare;"Einsamkeit und psychische Erkrankungen sind in ländlichen Regionen weit verbreitet, während die psychologische Versorgung dort besonders knapp ist. ""ConnectCare“ schafft als KI-gestützte, kollaborative Plattform Abhilfe, indem es Betroffene verbindet und unterstützt.";['Digitale Plattformen', 'Virtuelle Assistenz'];['Gesundheit', 'Soziale Dienste'];In Planung;Civic Coding;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/connectcare/993;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/connectcare/993;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Consequences of AI for Urban Societies;Das Projekt CAIUS untersucht die potenziellen negativen Auswirkungen von Künstlicher Intelligenz in Smart-City-Anwendungen auf urbane Gesellschaften. Es konzentriert sich auf soziale und ökonomische Faktoren sowie die Frage, wie KI zur Erosion der Solidarität in der Stadtgesellschaft führen kann.;['Automatisierung', 'Datenanalyse', 'Künstliche Intelligenz', 'Wirkungsmessung'];['Anti Dismkriminierung', 'Demokratie & Soziale Rechte', 'Inklusion & Teilhabe', 'Organisation & Professionalisierung', 'Soziale Dienste', 'Stadtentwicklung'];In Planung;University of Mannheim, Stuttgart Media University, LMU Munich;https://caius.informatik.uni-mannheim.de/;https://publicinterest.ai/tool/map/project/caius-consequences-of-ai-for-urban-societies;CC-BY 4.0;https://publicinterest.ai/
Consul Democracy KI Assistent;Wir entwickeln einen KI-Assistenten für die Beteiligungsplattform Consul Democracy, der demokratische Prozesse erleichtert und Bürger*innen durch K.I. und LLM unterstützt, ihre Vorschläge – für eine zugängliche, faire und lebendige digitale Demokratie, einzubringen.;['Automatisierung', 'Datenanalyse', 'Datenanwendung für Öffentlichkeit', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Open-Source-Software'];['Demokratie & Soziale Rechte', 'Inklusion & Teilhabe'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/consul-democracy-ki-assistent/1342;https://www.civic-coding.de/community/projekt/consul-democracy-ki-assistent/1342;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Consul;Consul ist eine Open-Source-Plattform, die umfassende Bürgerbeteiligung ermöglicht. Sie vereinfacht Diskussionen, das Einbringen von Vorschlägen und Abstimmungen, um die Stadt mitzugestalten und politische Maßnahmen transparent zu kommunizieren.;['Datenerhebung', 'Digitale Plattformen', 'Öffentliche Daten'];['Demokratie & Soziale Rechte', 'Inklusion & Teilhabe', 'Jugendhilfe', 'Klima & Umwelt', 'Organisation & Professionalisierung', 'Stadtentwicklung'];In Betrieb;Mehr Demokratie e.V.;https://consul.mehr-demokratie.info/, https://demo.consuldemocracy.org/;https://consul.mehr-demokratie.info/;;Zurück
Content Management zur Darstellung und KI-gestützter Dokumentation von Lebensräumen;"Wir leben in einem komplexen Lebensraum mit vielen Chancen, Möglichkeiten und Angeboten. Gerade soziale Projekte werden aber häufig als ""Content-Inseln"" realisiert. Also ohne digitale Verknüpfung mit anderen Projekten, Initiativen und Angeboten. Dies möchten wir ändern.";['Datenanwendung für Öffentlichkeit', 'Datenmanagement', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Wissensorganisation', 'Öffentliche Daten'];['Anti Dismkriminierung', 'Arbeit & Soziales', 'Bildung', 'Inklusion & Teilhabe', 'Soziale Dienste'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/content-management-zur-darstellung-und-ki-gestutzter-dokumentation-von-lebensraeumen/196;https://www.civic-coding.de/community/projekt/content-management-zur-darstellung-und-ki-gestutzter-dokumentation-von-lebensraeumen/196;CC-BY-NC-ND 4.0;https://www.civic-coding.de
