id,title,content,topic_label,location,address,links,topics,top3_matches
30,GhostNetZero.ai,"['Der <abbr title=""World Wildlife Fund"">WWF</abbr> hat eine <abbr title=""Künstliche Intelligenz"">KI</abbr>-Anwendung entwickelt, die Satellitendaten nach verlorenen Fischereinetzen, sogenannten ""Geisternetzen"", absucht. Um die Effizienz zu steigern, wird ein Interface entwickelt, das die gemeinsame Nutzung von hydrografischen Daten ermöglicht, ohne dass sensible Informationen preisgegeben werden. Die Datenmengen des WWF sind begrenzt, während weitere Daten oft im Besitz von privaten Firmen und Behörden sind. Es wird ein Interface entwickelt, dass es ermöglicht, hydrografische Daten ausschließlich auf potenzielle Netzverdachtsstellen zu teilen. Die Daten selbst werden nicht übertragen und die Nutzungsrechte bleiben bei den Eigentümer*innen. Die gemeinsame Nutzung von hydrografischen Daten durch das KI-Geisternetz-Interface ermöglicht eine skalierbare, kostengünstige und ressourcenschonende Suche nach Geisternetzen. Dies kann einen wichtigen Beitrag zur Säuberung der Meere und zum Schutz der Meereslebewesen leisten.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Stralsund'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ki-geisternetz-interface/30', 'name': 'Weitere Informationen'}]","[{'label': 'Datenanalyse'}, {'label': 'Bilderkennung'}]",AIR – AI-basierter Recommender für nachhaltigen Tourismus (86); Consequences of AI for Urban Societies (86); Equitable AI: Prevent and mitigate gender bias in Early Warning Systems for school dropouts (86)
31,Prisma3D Explain,"['Mit ""Prisma3D Explain"" erstellen Schüler*innen 3D-animierte Erklärvideos mithilfe einer vom Projektteam entwickelten intelligenten Motion Capture <abbr title=""Künstliche Intelligenz"">KI</abbr>-Anwendung in nur fünf Minuten. Durch die App entwickeln Schüler*innen 3D-gestalterische Kompetenzen für umweltrelevante Berufe in den Bereichen Medien, Architektur und Ingenieurswesen.']","Bildung, Gesellschaft und Engagement",{'label': 'München'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/prisma3d-explain/31', 'name': 'Weitere Informationen'}]",[{'label': 'Augmented & Virtual Reality (AR/VR)'}],Prisma3D Explain (100); Claim (60); Explainable AI made simple! (59)
32,Lokaler KI-Assistent für die Zivilbevölkerung (LoKI),"['Der <abbr title=""Künstliche Intelligenz"">KI</abbr>-Assistent LoKI soll Bürger*innen bei Fragen zu Behörden und Themen des öffentlichen Lebens schnell und unkompliziert helfen. Der Assistent bündelt Informationen aus verschiedenen Quellen, wie Websites, sozialen Medien und Fachdatenbanken, und bereitet sie nutzer*innenfreundlich auf. Relevante Informationen sind schnell und einfach auffindbar. Der Assistent versteht natürliche Sprache und beantwortet in Alltagssprache. Auch ohne technisches Vorwissen oder Fachkenntnisse ist der Assistent nutzbar. Bürger*innen erhalten allgemeine Informationen zu kommunalen Belangen, werden durch komplexe Behördengänge geleitet und bei der Antragstellung unterstützt. Die Interaktion mit Behörden wird somit effizienter und stressfreier für alle Beteiligten.']","Bildung, Gesellschaft und Engagement",{'label': 'Hoppstädten-Weiersbach'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/lokaler-ki-assistent-fuer-die-zivilbevoelkerung-loki/32', 'name': 'Weitere Informationen'}]","[{'label': 'Maschinelles Lernen (ML)'}, {'label': 'Datenanalyse'}]",Lokaler KI-Assistent für die Zivilbevölkerung (LoKI) (100); Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen (86); Datenbankverwaltungssystem für die Europäische Gemeinschaftsstiftungsinitiative (ECFI) (86)
33,Mother Earth AI – Wir geben Mutter Erde eine Stimme!,"['Das Projekt „Mother Earth AI“ (Mutter Erde <abbr title=""Künstliche Intelligenz"">KI</abbr>) entwickelt ein eigenes Sprachmodell (LLM), dass aus der Perspektive von „Mutter Erde“ spricht und allgemeine Fragen in einfühlsamer, bildlicher Sprache beantworten kann. Als Grundkonzept dient die „Universal Declaration of the Rights of Mother Earth“ (Bolivien, 2010) und als Trainingsdaten Sprichwörter von indigenen Gruppen, um eine naturverbundene und bildliche Sprache zu ermöglichen. Das Team will dieses Sprachmodell vor allem für ihr bereits entwickeltes „Mutter Erde Telefon“ (Prototyp) nutzen, das im öffentlichen Raum Menschen mit ihrem Ökosystem in Kontakt bringen soll. Durch die Interaktion mit ""Mutter Erde"" wird ein Perspektivwechsel ermöglicht, der das Verständnis für die Umwelt und die Auswirkungen des menschlichen Handelns fördern soll. Über den mehrsprachigen Open Source Ansatz soll das Sprachmodell als Tool für bessere Klima- und Biodiversitätskommunikation eingesetzt werden können, um über für verschiedene Anwendungen im persönlichen Gespräch breitere Bevölkerungsgruppen zu erreichen als über klassische Informationskanäle.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/mother-earth-ai-wir-geben-mutter-erde-eine-stimme/33', 'name': 'Weitere Informationen'}]","[{'label': 'Large Language Models (LLM)'}, {'label': 'Text-to-Speech-Technologie (TTS)'}]",Mutter Erde KI: Wir geben Mutter Erde eine Stimme! (91); Equitable AI: Prevent and mitigate gender bias in Early Warning Systems for school dropouts (86); La Independiente: Mainstreaming Gender Perspective in AI crowd work in the Global South (86)
34,BOTschafft Inklusion,"['Der Projektverbund, bestehend aus der <i>Technischen Hochschule Köln</i>, dem Softwareunternehmen <i>Founders1 <abbr title=""Gesellschaft mit beschränkter Haftung"">GmbH</abbr></i> und der <i>Gesundheitsregion KölnBonn e. V.</i>, reagiert direkt auf diese Lücke. Mit <i>BOTschafft Inklusion</i> sollen besonders pflegenden Eltern und Arbeitgeber*innen niedrigschwellige Beratungs- und Unterstützungsmöglichkeiten aufgezeigt werden, damit sie weiterhin berufstätig sein und am gesellschaftlichen Leben teilhaben können. Das Projekt soll unter anderem über Leistungsangebote, Rehabilitations- und Weiterbildungsmaßnahmen informieren.']",Arbeit und Soziales,{'label': 'Köln'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/botschafft-inklusion/34', 'name': 'Weitere Informationen'}]",[{'label': 'Virtuelle Assistenten'}],"Automatisiert lernendes und selbst optimierendes Personal-Vertretungsmanagement-System (Inklusion und Schulbegleitung). (86); IsoSens (54); Barrierefreie Informationen ""end to end"": Auf Knopfdruck Inhalte in Leichter Sprache inklusive Bebilderung erstellen (54)"
35,KI-Coach-Work-Health,"['Der Projektverbund, bestehend aus der <i>Hochschule für angewandtes Management</i>, dem <i>Hamburger Informatik Technologie-Center <abbr title=""eingetragener Verein"">e. V.</abbr> (HITec)</i> und der <i>Habinator UG</i>, entwickelt einen <i><abbr title=""Künstliche Intelligenz"">KI</abbr>-Coach-Work-Health</i>, der Unternehmen bei der Umsetzung gesundheitsförderlicher Maßnahmen unterstützen soll.']",Arbeit und Soziales,{'label': 'Ismaning'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ki-coach-work-health/35', 'name': 'Weitere Informationen'}]","[{'label': 'Maschinelles Lernen (ML)'}, {'label': 'Natural Language Processing (NLP)'}]",Mithilfe von KI Wirkungsmessung skalieren (86); Automatisierte Fragebogenauswertung mit Generativer KI (86); Auswertung einer Umfrage zu KI im Ehrenamt (86)
36,TALAINTED,"['Der Projektverbund, bestehend aus der <i>Hochschule der Medien Stuttgart</i> und der <i>Hacker School gGmbH</i>, möchte mit <i>TALAINTED</i> IT-Berufsorientierungskurse mittels virtueller <abbr title=""Künstliche Intelligenz"">KI</abbr>-Charaktere motivierend, videobasiert und zielgruppengerecht gestalten. Notwendigen Kompetenzen sollen interaktiv und am individuellen Lernfortschritt orientiert, erlebbar gemacht werden.']",Arbeit und Soziales,{'label': 'Stuttgart'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/talainted-einsatz-von-virtual-ai-characters-als-beitrag-zu-einer-fairen-digital-zeitgemaessen-berufsorientierung/36', 'name': 'Weitere Informationen'}]",[{'label': 'Generative KI'}],Linked Open Statistical Data (67); Talomat (62); Artificial Intelligence Center Hamburg (60)
37,EKAPEx: Neue effiziente KI-Algorithmen für innovative Prognosemethoden von Extremwetterereignissen,"['Das Projekt EKAPEx entwickelt eine <abbr title=""Künstliche Intelligenz"">KI</abbr>-basierte Niederschlagsvorhersage für Deutschland. Ein besonderer Fokus liegt dabei auf Vorhersagen zu Extremwetterereignissen. Zu diesem Zweck sollen möglichst leistungsstarke, aber auch ressourceneffiziente KI-Algorithmen entwickelt werden. Um bessere Prognosen zur erzielen, werden im Projekt einzigartige Datensätze der letzten 20 Jahre aus dem Global Navigation System (GNSS) verwendet.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Potsdam'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ekapex-neue-effiziente-ki-algorithmen-fuer-innovative-prognosemethoden-von-extremwetterereignissen/37', 'name': 'Weitere Informationen'}]","[{'label': 'Deep Learning'}, {'label': 'Neuronale Netze'}]",Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Mithilfe von KI Wirkungsmessung skalieren (86); Automatisierte Fragebogenauswertung mit Generativer KI (86)
38,Social Knowledge Graph,"['Der Projektverbund, bestehend aus den Technologieunternehmen <i>Venus <abbr title=""Gesellschaft mit beschränkter Haftung"">GmbH</abbr></i> und <i>T2K GmbH</i>, dem <i>Landratsamt Wunsiedel</i> und dem gemeinnützigen Inklusionsunternehmen <i>Pfennigparade SIGMETA GmbH</i>, möchte einen niederschwelligen und barrierefreien <i>Social Knowledge Graph</i> entwickeln, der die nötige Basis schafft, um öffentliche Daten für <abbr title=""Künstliche Intelligenz"">KI</abbr>-Anwendungen zur Verfügung zu stellen. Dabei sollen öffentliche Informationen, beispielsweise über Verwaltungen, Pflegeeinrichtungen sowie die Arbeits- und Sozialpolitik, in leicht verständlicher Sprache übermittelt werden.']",Arbeit und Soziales,{'label': 'Bogen'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/civic-coding-projektlandkarte-social-knowledge-graph/38', 'name': 'Weitere Informationen'}]","[{'label': 'Natural Language Processing (NLP)'}, {'label': 'Knowledge Graph'}]","„KI“ring new employees: Effiziente Social Media-Präsenz durch innovative Technologie (86); ""Social Knowledge Hub"" - Regionale Digitalisierung und Vernetzung (86); Navigable knowledge spaces and personalised learning paths to approach global challenges with 21st century skills (86)"
39,Interaktiver Laufbahn-Atlas,"['Der Projektverbund, bestehend aus der <i>Otto-Friedrich-Universität Bamberg</i>, der <i>magnolia psychometrics <abbr title=""Gesellschaft mit beschränkter Haftung"">GmbH</abbr></i> und der <i>Runourcode GmbH</i>, hat es sich zum Ziel gesetzt, einen <i>Interaktiven Laufbahn-Atlas</i> zu entwickeln, der Arbeitnehmende und -suchende dabei unterstützt, sich in der wandelnden Karrierelandschaft zu orientieren und sich anzupassen.']",Arbeit und Soziales,{'label': 'Bamberg'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/interaktiver-laufbahn-atlas/39', 'name': 'Weitere Informationen'}]",[{'label': 'Datenanalyse'}],Open Data Atlas (86); “Soulmate” ein smarter und interaktiver Achtsamkeits-Spiegel - mental stark in Zeiten der Unsicherheit! (86); Integreat (74)
40,Barrierefreie Informationen erstellen: End to end automatisiert mit KI,"['Damit alle Bürger*innen in Deutschland einen gleichberechtigten Zugang zu verständlichen Informationen erhalten, soll der manuelle Aufwand bei der Erstellung so gering wie möglich sein. Das <abbr title=""Künstliche Intelligenz"">KI</abbr>-Start-Up <i>SUMM AI</i> möchte deshalb zusammen mit der Pressestelle des <i>Senats Freie und Hansestadt Hamburg</i> die Bebilderung von Texten mithilfe der KI-basierten Lösung „End to end“ automatisieren, um eine effizientere und kostengünstigere Erstellung barrierefreier Inhalte zu ermöglichen.']",Arbeit und Soziales,{'label': 'München'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/end-to-end/40', 'name': 'Weitere Informationen'}]","[{'label': 'Bildgenerierung'}, {'label': 'Generative KI'}]",Mithilfe von KI Wirkungsmessung skalieren (86); Mit Daten zu transparenterer Demokratie (86); Auswertung einer Umfrage zu KI im Ehrenamt (86)
41,BUKI,"['Der Projektverbund, bestehend aus <i>OFFIS <abbr title=""eingetragener Verein"">e. V.</abbr> – Institut für Informatik</i> und der Stadt <i>Oldenburg</i>, entwickelt am Beispiel des Wohnberechtigungsscheins ein bürgerfreundliches <abbr title=""Künstliche Intelligenz"">KI</abbr>-System zur Unterstützung bei der Dokumenten- und Antragsausfüllung in der öffentlichen Verwaltung. Das Ziel der KI-gestützten Vorab-Beratung ist es, dass die Antragstellenden informiert und vorbereitet in die Beantragung starten und somit zu einer schnelleren abschließenden Bearbeitung ihres Anliegens kommen. Somit wird auch ein Beitrag geleistet, die Verwaltung effizienter und nutzer*innen-freundlicher zu gestalten.']",Arbeit und Soziales,{'label': 'Oldenburg'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/buki/41', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Spracherkennung'}, {'label': 'Virtuelle Assistenten'}]",KI² (90); BaKIM (67); KI-unterstützten Job-Suche (64)
42,LUPAI,"['Der Projektverbund, bestehend aus dem Verein <i>Plan:B</i> und dem Start-up <i>aureka</i>, möchte durch eine <abbr title=""Künstliche Intelligenz"">KI</abbr>-basierte Webanwendung, zur Erleichterung des Zugangs zu Informationen über bürokratische Verfahren sowie Migrations- und Arbeitsregelungen beitragen. Damit soll es Menschen mit Migrations- und Fluchterfahrung möglich werden, selbstständig Informationen über rechtliche Rahmenbedingungen und administrative Abläufe im Themenfeld Migration und Arbeit zu erhalten sowie sich mit entsprechenden Fachleuten, Organisationen und Initiativen zu vernetzen.']",Arbeit und Soziales,{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/lupai/42', 'name': 'Weitere Informationen'}]","[{'label': 'Large Language Models (LLM)'}, {'label': 'Virtuelle Assistenten'}]",KI-Gerechte Lehre und Evaluation (72); Prozessanalyse Radinfrastruktur (PARI) (60); Clair Berlin (60)
43,Civic-Sync – Mapping Plattform für soziale Angebote,"['Die Civic-Sync-Plattform erlaubt soziale und kulturelle Angebotsdatenbanken kollaborativ aufzubauen und mehrsprachig und barrierearm zur Verfügung zu stellen – DSGVO-konform, unterstützt durch KI-Technologien und offene Schnittstellen.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/civic-sync-mapping-plattform-fuer-soziale-angebote/43', 'name': 'Weitere Informationen'}]","[{'label': 'Spracherkennung'}, {'label': 'Virtuelle Assistenten'}]",Datenbankverwaltungssystem für die Europäische Gemeinschaftsstiftungsinitiative (ECFI) (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86); Netzwerkdynamiken in Citizen Science - Nutzer*innenverhalten auf der iNaturalist Plattform (86)
44,CORRECTIV.Faktenforum,['Mit dem CORRECTIV.Faktenforum baut CORRECTIV Deutschlands erste Faktencheck-Community auf und vereint Prebunking- und Debunking-Maßnahmen mit Hilfe von Civic Tech. Unabhängig von journalistischer Vorerfahrung können Engagierte so gegen Desinformation aktiv werden. Ortsunabhängig und kollaborativ möglich wird das Faktenchecken mit der Faktenforum-Plattform.'],"Bildung, Gesellschaft und Engagement",{'label': 'Essen'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/correctivfaktenforum/44', 'name': 'Weitere Informationen'}]","[{'label': 'Datenanalyse'}, {'label': 'Data Science'}, {'label': 'Open Source'}, {'label': 'Generative KI'}, {'label': 'Large Language Models (LLM)'}, {'label': 'Maschinelles Lernen (ML)'}, {'label': 'Mensch-Maschine-Interaktion'}]",Amikeco (51); WERTIS-KI (50); CityConnect (50)
45,Erkennung von Meeresmüll über Satelliten,"['Das Projekt entwickelt eine Plattform, die Satellitenbilder mit KI auswertet, um weltweit Meeresmüll zu identifizieren und diese Information der Öffentlichkeit bzw. Forscher*innen und Organisationen, die Meere bereinigen, zur Verfügung zu stellen.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'München'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/erkennung-von-meeresmuell-ueber-satelliten/45', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Data Science'}, {'label': 'Datenanalyse'}, {'label': 'Deep Learning'}, {'label': 'Maschinelles Lernen (ML)'}, {'label': 'Neuronale Netze'}, {'label': 'Open Source'}, {'label': 'Remote Sensing'}]",Erkennung von Meeresmüll über Satelliten (100); Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen (86); Automatisiertes Monitoring von Zielgruppenentwicklung im Zeitverlauf (86)
46,EdTech for Diversity in AI,"['Menschenzentrierte digitale Anwendungen, z. B. für Recruiting, kommen in Unternehmen verstärkt zum Einsatz. Um damit verbundene Diskriminierungsrisiken zu vermeiden, sollen Unternehmen über eine KI-gestützte Lernplattform zu einer diversitätssensiblen Einführung von KI-Anwendungen befähigt werden.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/edtech-for-diversity-in-ai/46', 'name': 'Weitere Informationen'}]","[{'label': 'Generative KI'}, {'label': 'Mensch-Maschine-Interaktion'}]",EdTech for Diversity in AI - Kompetenzen für die diversitätssensible Einführung menschenzentrierter KI in Unternehmen (90); tf-idf zu Babel: Text Mining zur Optimierung von automatisierten Prozessen in multilingualen Kontexten (86); Mithilfe von Machine Learning Anomalien in Bienenstöcken erkennen (86)
47,Deaf.AI,['Eine KI soll in durch Sprachdaten in Gebärdensprache trainiert und so eine Grundlage für verständliche und automatische Übersetzungen mittels Avataren geschaffen werden. Ein zentraler Aspekt ist die Gestaltung und Leitung durch gehörlose Fachleute. Damit wird eine praxisnahe und bedarfsorientierte Entwicklung sichergestellt und die Akzeptanz und Identifikation der nutzenden Personen mit den neuen Technologien erhöht.'],"Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/https-deafai/47', 'name': 'Weitere Informationen'}]","[{'label': 'Datenanalyse'}, {'label': 'Deep Learning'}, {'label': 'Generative KI'}, {'label': 'Large Language Models (LLM)'}, {'label': 'Maschinelles Lernen (ML)'}, {'label': 'Mensch-Maschine-Interaktion'}]",AIR – AI-basierter Recommender für nachhaltigen Tourismus (86); Consequences of AI for Urban Societies (86); Grundlagen der KI für Unternehmen / Foundations of AI (86)
48,Fair Text,"['„Fair Text“ richtet sich an Personen und Institutionen, die ihre Texte durch Einfache oder Leichte Sprache barrierefrei gestalten möchten. Die Anwendung überführt „schwere Sprache“ in für die Zielgruppe verständliche Sprache mit Hilfe Künstlicher Intelligenz.']","Bildung, Gesellschaft und Engagement",{'label': 'Köln'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/fair-text/48', 'name': 'Weitere Informationen'}]","[{'label': 'Generative KI'}, {'label': 'Natural Language Processing (NLP)'}, {'label': 'Neuronale Netze'}, {'label': 'Large Language Models (LLM)'}, {'label': 'Open Source'}]",Fair Text (100); Simba Text Assistant (86); TOP.KI (text optimisation using artificial intelligence) (86)
49,CariFIX – ein Lernendes System für Sozialberater*innen,"['Das Projekt erforscht die Nutzung von vorhandenen Daten zur Vernetzung von Sozialberater*innen durch die intelligente, webbasierte Software „CariFIX“. Über die Analyse von Falldokumentationen kann schnell die richtige Ansprechperson aus dem deutschlandweiten Expertisenetzwerk der Caritas für einen Austausch über eine aktuelle Fachfrage gefunden und Klient*innen so schneller geholfen werden.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/carifix-ein-lernendes-system-fuer-sozialberaterinnen/49', 'name': 'Weitere Informationen'}]","[{'label': 'Datenanalyse'}, {'label': 'Knowledge Graph'}]",CariFix (90); Datenbankverwaltungssystem für die Europäische Gemeinschaftsstiftungsinitiative (ECFI) (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86)
50,KitaMatch – Software für eine schnelle und faire Kitaplatzvergabe,"['In vielen Kommunen herrscht Unmut bei Eltern und Kitas über eine intransparente und langwierige Platzvergabe. Das KitaMatch-Projekt nutzt einen Nobelpreis-prämierten Algorithmus, um mit einer Open-Source-Software Probleme in der Kitaplatzvergabe zu lösen.']","Bildung, Gesellschaft und Engagement",{'label': 'Mannheim'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kitamatch-software-fuer-eine-schnelle-und-faire-kitaplatzvergabe/50', 'name': 'Weitere Informationen'}]","[{'label': 'Mensch-Maschine-Interaktion'}, {'label': 'Open Source'}]",Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86); Anschauliche Aufbereitung von Umfragen zur Teilnehmerstruktur und dem Impact von Veranstaltungen (86)
51,YouCodeGirls,"['YouCodeGirls möchte Mädchen und Frauen für die Themen Programmieren und KI begeistern. Auf der gleichnamigen interaktiven Mitmach-Plattform können sich die Nutzer*innen unkompliziert, angeleitet und passend zu ihren Bedürfnissen in den Bereichen Programmieren und KI weiterbilden.']","Bildung, Gesellschaft und Engagement",{'label': 'Saarbrücken'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/youcodegirls/51', 'name': 'Weitere Informationen'}]","[{'label': 'Generative KI'}, {'label': 'Automatisierung & Robotik'}, {'label': 'Virtuelle Assistenten'}]",Plus Code (54); understandR - Plattform für aggregierte Argumente und differenzierte Meinungen (50); Code Week Heilbronn (49)
52,Skill-Kompass,"['Mentoring mittels erklärbarer KI: Der „KI-basierte Skill-Kompass"" empfiehlt Jugendlichen mit internationaler Familiengeschichte passgenau und individuell begründet Bildungsangebote aus dem Dschungel an Möglichkeiten der START-Stiftung.']","Bildung, Gesellschaft und Engagement",{'label': 'Ulm'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/skill-kompass/52', 'name': 'Weitere Informationen'}]","[{'label': 'Large Language Models (LLM)'}, {'label': 'Mensch-Maschine-Interaktion'}, {'label': 'Recommender System'}]",KI² (90); Von Talenten zu Machern: KI-basierter „Skill-Kompass“ für Jugendliche mit Migrationserfahrung (90); Wahlkompass Digitales (60)
53,pib@school – KI leicht gemacht,"['Mit pib, dem printable intelligent bot, können Jugendliche KI-Anwendungen an ihrem eigens gedruckten und gebauten humanoiden Roboter erlernen und durchführen.']","Bildung, Gesellschaft und Engagement",{'label': 'Nürnberg'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/pibschool-ki-leicht-gemacht/53', 'name': 'Weitere Informationen'}]","[{'label': 'Automatisierung & Robotik'}, {'label': 'Generative KI'}, {'label': 'Mensch-Maschine-Interaktion'}, {'label': 'Open Source'}]",Automatisierte Fragebogenauswertung mit Generativer KI (86); KIVI – KI + vigilare (86); Equitable AI: Prevent and mitigate gender bias in Early Warning Systems for school dropouts (86)
55,deliberAIde – Demokratischer Bürger*innendialog mit KI,"['Eine Plattform für KI-unterstützte Bürger*innendialoge, die den gesamten Beteiligungsprozess digital abbildet – von der Planung bis zur Berichterstellung. Generative KI und Natural Language Processing-Techniken ermöglichen tiefgehende Beteiligung und verbessern Effizienz sowie Inklusivität der Dialoge.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/deliberaide-demokratischer-buergerinnendialog-mit-ki/55', 'name': 'Weitere Informationen'}]","[{'label': 'Generative KI'}, {'label': 'Natural Language Processing (NLP)'}, {'label': 'Large Language Models (LLM)'}, {'label': 'Bilderkennung'}, {'label': 'Text-to-Speech-Technologie (TTS)'}, {'label': 'Open Source'}, {'label': 'Responsible AI'}, {'label': 'Mensch-Maschine-Interaktion'}, {'label': 'Erklärbare KI'}, {'label': 'Datenschutz'}, {'label': 'Datenanalyse'}]",Wo sollen neue Fahrradparkplätze in Paris entstehen? Unterstützung der Entscheidungsfindung mit offenen Daten (86); KIVI – KI + vigilare (86); WERTIS-KI (86)
56,Monitoring von Hass im Netz mit einem simplen Tool - von AI4Democracy,"['Das Ziel ist die Entwicklung eines Tools, das es ermöglicht, gegen Hassrede und Fake News in sozialen Medien vorzugehen, insbesondere im Kontext von Wahlen.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/monitoring-von-hass-im-netz-mit-einem-simplen-tool-von-ai4democracy/56', 'name': 'Weitere Informationen'}]","[{'label': 'Automatisierung & Robotik'}, {'label': 'Datenanalyse'}, {'label': 'Large Language Models (LLM)'}, {'label': 'Maschinelles Lernen (ML)'}]",Mithilfe von KI Wirkungsmessung skalieren (86); Mit Daten zu transparenterer Demokratie (86); Auswertung einer Umfrage zu KI im Ehrenamt (86)
57,AI4HumanRights,"['AI4HumanRights (AI4HR) empowert Personen und Organisationen, die Menschenrechte schützen, durch einfach bedienbare, technologiebasierte Lösungen. Die Lösungen von AI4HumanRights vereinfachen die Identifikation, Dokumentation und Verfolgung von Menschenrechtsverletzungen weltweit.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ai4humanrights/57', 'name': 'Weitere Informationen'}]","[{'label': 'Data Science'}, {'label': 'Datenanalyse'}, {'label': 'Mensch-Maschine-Interaktion'}, {'label': 'Bilderkennung'}]",AInsight (68); ADIS (60); Right-Hear (55)
