,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung
197,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligente-smartphone-hoer-app-die-rauchmelder-hausturklingel-telefon-und-andere-sounds-erkennt-und-informiert/225,,,,,,,
198,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/trutzwerk-ein-digitaler-agent-zum-schutz-der-privatsphaere-in-digitalen-welten/224,,,,,,,
199,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/digitalisierung-der-arbeit-mit-ehrenamtlichen/220,,,,,,,
200,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mit-ki-lebensmittelverschwendung-vermeiden-und-nachhaltig-wirtschaften/216,,,,,,,
201,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kontakt-telefon-gegen-einsamkeit/215,,,,,,,
202,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-leseanalytik-fur-kinder-die-technologie-fur-die-lesefoerderung-des-21-jahrhunderts/214,,,,,,,
203,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/erroff-arbeitstitel-adaptive-fehler-vermeidungs-plattform/212,,,,,,,
204,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/hybrid-praesentation-laserpointer/210,,,,,,,
205,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/das-portal-fur-die-gesunde-psyche-start-gesunde-psyche-als-wirtschaftsfaktor/209,,,,,,,
206,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ad-on-zum-zwangslaeufig-in-der-anzahl-der-teilnehmer-und-in-der-dauer-limitierten-pilotprojekt-grundeinkommen/203,,,,,,,
207,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/how-to-erlange-digitale-faehigkeiten-durch-individualisierte-personalisierte-weiterbildungmoeglichkeiten/202,,,,,,,
208,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/tracking-algorithmic-discrimination-in-the-platform-economy/201,,,,,,,
209,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/content-management-zur-darstellung-und-ki-gestutzter-dokumentation-von-lebensraeumen/196,,,,,,,
210,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/expertensystem-soziale-stadt/195,,,,,,,
211,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/gesetze-durch-ki-auf-plausibilitaet-und-wirksamkeit-uberprufen-und-kontrollieren/193,,,,,,,
212,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wwwresearchupeu/191,,,,,,,
213,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/foerderplattform-fur-akteurinnen-aus-dem-bereich-sport-und-sozialem-wandel/190,,,,,,,
214,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/gemeinschaftsentscheidungen/189,,,,,,,
215,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-entwurfsassistent-fur-die-industrielle-produktion-und-erstellung-von-wohnungs-schul-und-kitagebaeuden/187,,,,,,,
216,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-gestutzte-personalentwicklungstrainings-mit-dem-didakischen-konzept-von-neacos/186,,,,,,,
217,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/attract-hire-develop-promote-kann-ki-helfen-damit-unbewusste-vorurteile-minimiert-talent-sich-max-entfaltet/185,,,,,,,
218,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/explore-spann-ein-informationsnetz-uber-deine-stadt/183,,,,,,,
219,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/einsatz-von-adaptiven-assistenzsystemen-in-werkstaetten-fur-behinderte-menschen/179,,,,,,,
220,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/einkaufsservice-mit-gemeinnutzigen-zwecken-verbinden-einkaufbotede-eb/168,,,,,,,
221,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/jobs-von-morgen-als-karte/159,,,,,,,
222,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/bildungsfabrik/151,,,,,,,
223,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/pen-product-enlightenment-network/150,,,,,,,
