Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/flavourflip-der-greatery-gmbh/990;FlavourFlip der Greatery GmbH;KI Anwendung, Datenanalyse, Entscheidungsassistent;Nachhaltigkeit, Umwelt;;Greatery GmbH;In Planung;FlavourFlip ist eine innovative Methode, um zu Hause zu kochen. Eine KI ermittelt vorrätige, regional frische Lebensmittel und erstellt daraus Rezeptvorschläge. Fehlende Zutaten für spezielle Gerichte werden CO2-neutral per Post versendet.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/reimagine-spaces/989;Reimagine Spaces;Analyse von Sensordaten und ML, KI Anwendung;Barrierefreiheit, Nachhaltigkeit, Stadtplanung, Umweltschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/reimagine-spaces/989;Civic Coding;In Planung;Das Projekt nutzt Geodatenanalyse, um gelungene Beispiele für barrierefreie und nachhaltige Orte zu finden. Eine KI wird trainiert, um diese Lösungen mit dem aktuellen Zustand städtischer Räume zu vergleichen und optimale Gestaltungsoptionen aufzuzeigen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/citizencontract/988;CitizenContract;Digitale Plattform, Interaktive App, Generative KI;KI, Verwaltung, Transparenz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/citizencontract/988;Civic Coding;In Planung;CitizenContract ist eine geplante Plattform zur Generierung und Verwaltung digitaler Verträge in natürlicher Sprache. Die App soll Nutzern ermöglichen, Verträge zu definieren, zu bearbeiten und über ein digitales System zu verifizieren.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/laizee-language-made-easy-einfach-leichte-sprache-fur-jeden-text-website-oder-dokumente/986;laizee - language made easy;KI Anwendung, Large Language Model (LLM), Interaktive App, Übersetzungsassistent, Sprach-Editor;Barrierefreiheit, Inklusion;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/laizee-language-made-easy-einfach-leichte-sprache-fur-jeden-text-website-oder-dokumente/986;;In Weiterentwicklung;laizee bietet eine LLM-gestützte App und ein Browser-Plugin an, um normale Sprache in Leichte Sprache zu übersetzen und zu formatieren. Dies soll über 10 Millionen Menschen den Zugang zu Texten, Websites und Dokumenten erleichtern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/neow-the-new-now/985;NEOW - The New Now;KI Anwendung, Entscheidungsassistent, Digitale Plattform;Nachhaltigkeit, Umwelt, KI;;;In Planung;NEOW ist eine KI-basierte Plattform für Express-Logistik, die den Versendenden den günstigsten und klimafreundlichsten Weg vorschlägt. Sie vermittelt anschließend direkt zu fairen Raten an Durchführende, um eine nachhaltige und sozial gerechte Logistik zu ermöglichen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/travelsync-dynamischer-mitfahr-routenplaner-mit-oeffi-anbindung/984;TravelSync - dynamischer Mitfahr-Routenplaner mit Öffi-Anbindung;Interaktive App, KI Anwendung, Digitale Plattform, Matching, Routenplaner;KI, Partizipation, Vernetzung, Stadt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/travelsync-dynamischer-mitfahr-routenplaner-mit-oeffi-anbindung/984;;In Weiterentwicklung;TravelSync ist eine Mitfahr-App/Website, die KI-gestützt passende Fahrten vermittelt und individuelle Bedürfnisse berücksichtigt. Ziel ist es, soziale Durchmischung zu fördern, indem die KI unterschiedliche Menschen zusammenbringt.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/chatbot-gegen-rechte-hetze/983;Chatbot gegen rechte Hetze;KI Anwendung, Chatbot;Antidiskriminierung, Antirassismus, Demokratie;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/chatbot-gegen-rechte-hetze/983;;In Betrieb;Dieser Chatbot setzt sich auf Social Media mit Argumenten, Fakten und Humor gegen rechte Hetze ein, um Community-Manager und Einzelpersonen zu entlasten.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/climate-argumentation-assistant/982;Climate Argumentation Assistant;KI Anwendung, Entscheidungsassistent;Umweltschutz, Demokratie, Transparenz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/climate-argumentation-assistant/982;Civic Coding;In Weiterentwicklung;Der Climate Argumentation Assistant soll Klima-Missinformationen konstruktiv, gemeinschaftlich und wissenschaftsfundiert begegnen. Ziel ist es, eine bessere Klima-Debatte im digitalen Raum und öffentliche Akzeptanz zu fördern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deliberaide-the-ai-co-pilot-for-democratic-participation/978;deliberAIde - The AI Co-Pilot for Democratic Participation;KI Anwendung, Entscheidungsassistent, Übersetzungsassistent;Demokratie, Partizipation;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deliberaide-the-ai-co-pilot-for-democratic-participation/978;;In Planung;deliberAIde ist ein innovativer KI-Assistent, der inklusivere, effektivere und nachhaltigere kommunale Partizipation ermöglicht. Der Co-Pilot kann bei Aufgaben wie Live-Übersetzung, Zusammenfassungen und der Berücksichtigung langfristiger Auswirkungen helfen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kipp-ki-sprachassistent-zur-ermittlung-der-persoenlichkeitsprofile-fur-eine-gemeinsame-nutzung-von-wohnraum/975;KIPP: KI-Sprachassistent zur Ermittlung der Persönlichkeitsprofile für eine gemeinsame Nutzung von Wohnraum;KI Anwendung, Sprach-Editor, Datenanalyse, Matching, Entscheidungsassistent, Large Language Model (LLM);Wohnen, Soziale Arbeit, Vernetzung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kipp-ki-sprachassistent-zur-ermittlung-der-persoenlichkeitsprofile-fur-eine-gemeinsame-nutzung-von-wohnraum/975;;In Planung;Die gemeinsame Nutzung von Wohnraum erfordert eine bestmögliche zwischenmenschliche Passung. Diese wird mittels eines KI-Sprachassistenten ermöglicht, der die Persönlichkeitsprofile mit Präferenzen von anbietenden und suchenden Personen im Dialog erfasst und berücksichtigt.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aican-ai-citizen-science-aqua-network/969;AI.CAN - AI. Citizen Science Aqua Network;Analyse von Sensordaten und ML, Crowd-Sourced Daten, Datenerhebung, KI Anwendung, Vernetzung;Umweltschutz, Wasser, International;;Civic Coding;In Planung;AI.CAN ist ein bürgerwissenschaftliches Projekt, das Wasserqualitätsdaten mittels Sensor-Boxen sammelt und auswertet. Ziel ist der Aufbau eines grenzübergreifenden Systems zur Verbesserung der Gewässerökologie entlang der Oder.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/rentennavi/968;RentenNavi;KI Anwendung, Entscheidungsassistent;Senioren, Beratung, Zugänglichkeit;;;In Planung;Das RentenNavi ist ein geplanter KI-Assistent in einfacher Sprache, der Menschen mit Sprachproblemen dabei unterstützen soll, einen Überblick über das Thema Renteneintritt zu gewinnen und die erforderlichen Unterlagen korrekt auszufüllen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-assist-vision/955;AI Assist Vision;KI Anwendung, Interaktive App;Barrierefreiheit, Inklusion, Teilhabe;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-assist-vision/955;Civic Coding;In Planung;Eine geplante KI-gestützte App, die blinden und sehbehinderten Menschen durch Bilderkennung und Sprachsteuerung im Alltag unterstützt, um mehr Selbstständigkeit und Teilhabe zu ermöglichen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/newsbuddies-wir-entwickeln-unsere-eigene-ki-news-app/942;Newsbuddies - Wir entwickeln unsere eigene KI-News-App!;KI Anwendung, Large Language Model (LLM), Interaktive App, Datenanwendung für Öffentlichkeit;Jugendarbeit, Jugendbeteiligung, KI, Demokratie;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/newsbuddies-wir-entwickeln-unsere-eigene-ki-news-app/942;;In Weiterentwicklung;Newsbuddies entwickelt eine LLM-basierte Nachrichten-App für Jugendliche, in der sie an Bildungsveranstaltungen zu KI, Nachrichtenkompetenz und App-Design teilnehmen. Jugendliche wirken aktiv am Design und den Tests der App mit.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/citizen-knowledge-graph/913;Citizen Knowledge Graph;Knowledge Graph, Digitale Plattform, Datenanwendung für Öffentlichkeit, KI Anwendung;Verwaltung, Partizipation, Transparenz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/citizen-knowledge-graph/913;;Unbekannt;Der Citizen Knowledge Graph ist ein Tool für Bürger, um bürokratie-relevante Daten wie Steuernummern zu speichern und abzufragen. Dies erleichtert das Ausfüllen von Formularen und hilft, neue Berechtigungen und Möglichkeiten zu entdecken.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fairsync-ai/864;FairSync AI;KI Anwendung, Digitale Plattform, Vernetzungsassistent;Nachhaltigkeit, Soziale Arbeit, Umweltschutz, Vernetzung;;;In Planung;FairSync AI zielt darauf ab, disparate Informationen über Veranstaltungen, nachhaltigen Konsum und soziales/ökologisches Engagement, die auf hunderten Karten und Plattformen gesammelt werden, intelligent zusammenzuführen und zu vernetzen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mutter-erde-ki-wir-geben-mutter-erde-eine-stimme/860;Mutter Erde KI: Wir geben Mutter Erde eine Stimme!;KI Anwendung, Interaktive App;Umwelt, Umweltschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mutter-erde-ki-wir-geben-mutter-erde-eine-stimme/860;;In Weiterentwicklung;"Das Projekt entwickelt einen ""Mutter Erde Telefon-Prototypen"", der im öffentlichen Raum eingesetzt werden soll. Durch die Interaktion mit ""Mutter Erde"" ermöglicht es einen Perspektivenwechsel zum Verständnis des Ökosystems Erde und macht KI ""anfassbar""."
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/nect-ident-online-identifizieren-mit-ki/856;Nect Ident - Online identifizieren mit KI;KI Anwendung, Automatisierte Datenübermittlung;Verwaltung;;Civic Coding;In Betrieb;Nect Ident bietet vollautomatisierte, sichere und nutzerfreundliche Identifizierungsverfahren für hoheitliche, digitale Prozesse an. Dies erfolgt mittels KI-Video, eID und Reisepass, um Bürger:innen und Unternehmen den Zugang zu ermöglichen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/synergie-contract-ki-gestutzt-gemeinschaftlich-strom-erzeugen-verteilen-und-nutzen/855;Synergie Contract – KI gestützt gemeinschaftlich Strom erzeugen, verteilen und nutzen;KI Anwendung, Automatisierte Datenübermittlung, Digitale Plattform;Energie, Nachhaltigkeit, Umweltschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/synergie-contract-ki-gestutzt-gemeinschaftlich-strom-erzeugen-verteilen-und-nutzen/855;;In Weiterentwicklung;Das Projekt Synergie Contract nutzt KI, um gemeinschaftlich Strom zu erzeugen, zu verteilen und zu nutzen. Es zielt darauf ab, die Finanzierung, den Betrieb und die ortsunabhängige Verfügbarkeit von KI-gesteuerter Energieerzeugung und -nutzung zu ermöglichen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/skyla-die-digitale-assistenz-fur-die-zusammenarbeit-der-zukunft-in-klassenraum-und-kollegium/850;Skyla - Die digitale Assistenz für die Zusammenarbeit der Zukunft in Klassenraum und Kollegium;Digitale Plattform, KI Anwendung;Wissensmanagement, KI;;;In Planung;Skyla ist eine digitale Assistenz und Software-Lösung, die Lehrenden und Lernenden hilft, ihren Schulalltag zu organisieren, indem sie wichtige Bedürfnisse an einem Ort DSGVO-konform verbindet.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/sprechende-bilder-reanimierte-vergangenheit/847;Sprechende Bilder – reanimierte Vergangenheit;KI Anwendung, Datenanwendung für Öffentlichkeit;Wissensmanagement, Kultur, Bildung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/sprechende-bilder-reanimierte-vergangenheit/847;;In Weiterentwicklung;Das Projekt nutzt KI, um historischen Persönlichkeiten auf Porträtfotos eine Stimme zu geben. Ziel ist es, sie im musealen oder schulischen Kontext von ihren Erlebnissen berichten zu lassen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/durch-intelligenten-ad-hoc-verlegung-von-rettungswaegen-leben-retten/845;Durch intelligenten ad-hoc Verlegung von Rettungswägen Leben retten;KI Anwendung, Analyse von Sensordaten und ML, Entscheidungsassistent;Rettungsdienst, Gesundheit;;Civic Coding;In Planung;Dieses Projekt nutzt KI, um Engpässe bei der Verfügbarkeit von Rettungswägen zu erkennen. Durch intelligente ad-hoc Verlegung sollen Versorgungslücken geschlossen und Leben gerettet werden.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/die-stille-reserve-fur-die-kinderbetreuung-mobilisieren/844;Die stille Reserve für die Kinderbetreuung mobilisieren;Matching, Digitale Plattform;Kinder- und Jugendhilfe;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/die-stille-reserve-fur-die-kinderbetreuung-mobilisieren/844;Civic Coding;In Planung;"Das Projekt zielt darauf ab, den Fachkräftemangel in der Kinderbetreuung zu lindern, indem es flexible Arbeitskräfte aus der ""stillen Reserve"" mit Kindertagesstätten zusammenbringt, die kurzfristige Unterstützung benötigen."
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/1-bild-sagt-mehr-als-1000-worte/843;1 Bild sagt mehr als 1000 Worte;KI Anwendung, Generative KI, Datenanwendung für Öffentlichkeit;Barrierefreiheit, Inklusion;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/1-bild-sagt-mehr-als-1000-worte/843;Civic Coding;In Weiterentwicklung;Eine KI-Lösung erstellt Bilder für Texte und hilft Menschen mit Sprachschwierigkeiten, geschriebene Materialien zu verstehen. Sprachbarrieren werden reduziert, indem das Verständnis selbst komplexer Ideen automatisiert durch visuelle Darstellungen unterstützt wird.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai2destination-ki-basiertes-system-fur-stationaeres-bettenmanagement-und-krankenhausverlegungen/842;AI2destination - KI-basiertes System für stationäres Bettenmanagement und Krankenhausverlegungen;KI Anwendung, Entscheidungsassistent;Gesundheit, Katastrophenschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai2destination-ki-basiertes-system-fur-stationaeres-bettenmanagement-und-krankenhausverlegungen/842;;In Weiterentwicklung;Es soll ein intelligentes Be- und Verlegungsmanagementsystem an der Schnittstelle zwischen Rettungsdienst und Krankenhaus entwickelt werden, das bei Sekundäreinsätzen und Großschadenslagen durch Vorschläge geeigneter Transportmittel und Zielkliniken unterstützt.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/anymate-live/841;Anymate Live;KI Anwendung, Generative KI, Digitale Plattform, Übersetzungsassistent, Automatisierte Datenübermittlung;Barrierefreiheit, Inklusion, Gleichberechtigung;;Civic Coding;In Weiterentwicklung;Anymate Live ist eine KI-basierte Videoproduktionsplattform zur automatisierten Erstellung von multilingualen (Gebärdensprach)Videos in Echtzeit. Die Videoerstellung erfolgt durch Texteingabe mithilfe fotorealistischer KI-Avatare.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/foerderbot/840;FörderBot;KI Anwendung;Wohlfahrt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/foerderbot/840;Civic Coding;In Weiterentwicklung;Der FörderBot unterstützt Vereine bei Förderanträgen durch personalisierte Empfehlungen. Mit KI-Technologie werden Vereinsbedürfnisse erfasst, um die passenden Fördermöglichkeiten zu finden und Zeit sowie Ressourcen zu sparen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/edtech-for-diversity-in-ai-kompetenzen-fur-die-diversitaetssensible-einfuhrung-menschenzentrierter-ki-in-unternehmen/839;EdTech for Diversity in AI - Kompetenzen für die diversitätssensible Einführung menschenzentrierter KI in Unternehmen;KI Anwendung, Digitale Plattform;Antidiskriminierung, KI, Ethik, Chancengleichheit, Arbeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/edtech-for-diversity-in-ai-kompetenzen-fur-die-diversitaetssensible-einfuhrung-menschenzentrierter-ki-in-unternehmen/839;Civic Coding;In Weiterentwicklung;Dieses Projekt entwickelt eine KI-gestützte Lernplattform, um Unternehmen für die diversitätssensible Einführung menschenzentrierter KI zu befähigen und Diskriminierungsrisiken zu vermeiden.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/gomi-recycle-upcycle-reduce/838;GOMI: Recycle - Upcycle - Reduce;KI Anwendung, Entscheidungsassistent, Datenanwendung für Öffentlichkeit;Umweltschutz, Nachhaltigkeit;;Civic Coding;In Betrieb;GOMI unterstützt bei der schnellen und korrekten Recycling-Entscheidung von Gegenständen und schlägt Upcycling-Ideen, Verkaufsmöglichkeiten oder umweltfreundliche Alternativen vor. Das Projekt zielt darauf ab, das Müllaufkommen und den CO₂-Ausstoß zu reduzieren.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-foerderagent-foerdermittel-automatisch-finden-damit-mehr-zeit-furs-wesentliche-bleibt-hat/837;KI Förderagent - Fördermittel automatisch finden, damit mehr Zeit fürs Wesentliche bleibt;KI Anwendung, Automatisierte Datenübermittlung;Wissensmanagement;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-foerderagent-foerdermittel-automatisch-finden-damit-mehr-zeit-furs-wesentliche-bleibt-hat/837;;In Planung;Der KI Förderagent hilft gesellschaftlich tätigen Organisationen, Fördermittel automatisch zu finden. Mithilfe von NPL wird die Recherche von Fördermöglichkeiten beschleunigt und verbessert, um mehr Zeit für die eigentliche Arbeit zu gewinnen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligent-invoice-manager/836;Intelligent Invoice Manager;KI Anwendung, Datenanalyse, Prozessautomatisierung;Verwaltung, Wissensmanagement;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligent-invoice-manager/836;Civic Coding;In Weiterentwicklung;Der Intelligent Invoice Manager ist ein Software-Tool, das Unternehmen und Selbstständige bei der Erkennung von Duplikaten und Zahlungen unterstützt. Es vereinfacht zudem die Kommunikation mit Steuerberatern für den Austausch von Ausgaben und Einnahmen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/motioncomposer-lite/835;MotionComposer Lite;KI Anwendung;Menschen mit Behinderung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/motioncomposer-lite/835;;Unbekannt;MotionComposer ist ein Gerät, das Bewegungen von Menschen mit Behinderung in Musik umwandelt. Mithilfe von KI wird eine kostengünstigere, App-basierte Version dieses Geräts entwickelt.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kimup-ki-gestutztes-monitoring-zur-unterstutzung-in-der-haeuslichen-pflege/827;KIMUP: KI-gestütztes Monitoring zur Unterstützung in der häuslichen Pflege;KI Anwendung, Monitoring, Interaktive App, Datenanalyse;Pflege, Pflegende Angehörige, Gesundheit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kimup-ki-gestutztes-monitoring-zur-unterstutzung-in-der-haeuslichen-pflege/827;Civic Coding;In Planung;Ziel des Projektes ist die Umsetzung eines App-basierten Systems zur Bewertung der Aktivität von gepflegten Angehörigen in ihrer häuslichen Umgebung.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-intelligente-genderstern/826;Der intelligente Genderstern;KI Anwendung, Interaktive App;Genderneutrale Sprache, Gleichstellung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-intelligente-genderstern/826;Civic Coding;In Weiterentwicklung;Anstelle eines statischen Gendersterns soll sich in digitalen Lernmedien ein interaktiver Genderstern einbetten lassen, über den man detailliertere Informationen aufrufen kann. Die Informationen werden mittels KI auf Basis individuell angelegter Keywords generiert.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/individuelles-lernen-der-deutschen-sprache-fur-zugewanderte-ermoeglichen/825;Individuelles Lernen der deutschen Sprache für Zugewanderte ermöglichen;KI Anwendung;Integration;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/individuelles-lernen-der-deutschen-sprache-fur-zugewanderte-ermoeglichen/825;;In Planung;Dieses Projekt möchte individuelles Lernen der deutschen Sprache für Zugewanderte ermöglichen. Es plant, adaptives Lernen anzuwenden, um der hohen Diversität der Teilnehmer*innen gerecht zu werden und den Lernfortschritt zu verbessern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entscheidung-der-hr-verbessern-diskriminierungen-und-vorbehalte-mindern-und-effektiv-entscheidungen-treffen/824;Entscheidung der HR verbessern. Diskriminierungen und Vorbehalte mindern und effektiv Entscheidungen treffen.;KI Anwendung, Entscheidungsassistent, Prozessautomatisierung;Antidiskriminierung, Chancengleichheit, KI;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entscheidung-der-hr-verbessern-diskriminierungen-und-vorbehalte-mindern-und-effektiv-entscheidungen-treffen/824;Civic Coding;In Planung;Das Projekt untersucht, wie Künstliche Intelligenz genutzt werden kann, um Personalentscheidungen zu verbessern, Diskriminierung und Vorurteile zu mindern und den Zugang zu Chancen am Arbeitsplatz zu optimieren.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-gestutzte-moderation-von-online-diskussionen-diskriminierungsarm-gestalten-ki-modi/821;KI-gestützte Moderation von Online-Diskussionen diskriminierungsarm gestalten (KI-MoDi);KI Anwendung, Datenanalyse, Large Language Model (LLM);Antidiskriminierung, Demokratie, Ethik, KI;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-gestutzte-moderation-von-online-diskussionen-diskriminierungsarm-gestalten-ki-modi/821;Civic Coding;In Weiterentwicklung;KI-MoDi zielt darauf ab, modellhaft Diskriminierungsrisiken von KI-Systemen zu analysieren und ihnen entgegenzuwirken. Am Beispiel des bestehenden Systems KOSMO wird ein Modell zur Analyse und Reduktion von Diskriminierung in KI-Sprachmodellen erarbeitet.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/org-ai-nisation-smartes-dienstplanungstool-fur-faire-arbeitsbedingungen-im-gesundheitswesen/819;Org-AI-nisation: Smartes Dienstplanungstool für faire Arbeitsbedingungen im Gesundheitswesen;KI Anwendung, Prozessautomatisierung, Entscheidungsassistent;Gesundheit, Pflege;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/org-ai-nisation-smartes-dienstplanungstool-fur-faire-arbeitsbedingungen-im-gesundheitswesen/819;Civic Coding;In Planung;Dieses KI-gestützte Tool soll die komplexe Dienstplanung in Kliniken dynamisch, fair und transparent gestalten. Es berücksichtigt individuelle Präferenzen und Rückmeldungen des Personals, um bessere Arbeitsbedingungen im Gesundheitswesen zu ermöglichen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/tinder-fur-arbeitsplaetze-fur-mehr-matches-auf-dem-arbeitsmarkt/815;"Tinder für Arbeitsplätze - Für mehr ""Matches"" auf dem Arbeitsmarkt";KI Anwendung, Matching, Automatisierte Datenübermittlung;Chancengleichheit, Teilhabe;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/tinder-fur-arbeitsplaetze-fur-mehr-matches-auf-dem-arbeitsmarkt/815;Civic Coding;In Weiterentwicklung;Dieses Projekt zielt darauf ab, Menschen bei der Arbeitsplatzsuche zu unterstützen. Es nutzt einen KI-gestützten Algorithmus, der sich am „Tinder-Swipen“ orientiert, um mehr „Matches“ auf dem Arbeitsmarkt zu ermöglichen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/stereoff-automatisierte-identifikation-und-analyse-von-geschlechterstereotypen/814;StereOFF - Automatisierte Identifikation und Analyse von Geschlechterstereotypen;KI Anwendung, Datenanalyse;Gleichberechtigung, Gleichstellung, Antidiskriminierung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/stereoff-automatisierte-identifikation-und-analyse-von-geschlechterstereotypen/814;;In Weiterentwicklung;StereoOff ist ein Tool, das Geschlechterstereotype in Lernmaterialien automatisiert identifiziert und analysiert. Ziel ist es, Geschlechterungleichheiten in der Gesellschaft entgegenzuwirken.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/112-ki-rettet-leben/813;112 - KI rettet Leben.;KI Anwendung, Entscheidungsassistent;Katastrophenschutz, Rettungsdienst, Gesundheit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/112-ki-rettet-leben/813;;In Weiterentwicklung;Das Projekt entwickelt ein KI-System zur Unterstützung von Notrufzentralen, um den Standort von Anrufenden schnell zu lokalisieren. Dies ist besonders wichtig, da viele Notrufe keine GPS-Daten senden und die akustische Lokalisierung schwierig sein kann.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kiring-new-employees-effiziente-social-media-praesenz-durch-innovative-technologie/811;„KI“ring new employees: Effiziente Social Media-Präsenz durch innovative Technologie;KI Anwendung, Generative KI;KI, Verwaltung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kiring-new-employees-effiziente-social-media-praesenz-durch-innovative-technologie/811;Civic Coding;In Planung;Diese Projektidee setzt auf KI in Human Ressources, um die Social Media Präsenz von Kleinbetrieben, Kommunen sowie Handwerksbetrieben zu stärken und dem Fachkräftemangel entgegenzuwirken. KI erstellt individuelle Inhalte, um die Reichweite und Personalbeschaffung zu verbessern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/senior-residenz-soziale-aktivitaeten-vorschlagende-und-organisatorin/810;Senior Residenz Soziale Aktivitäten Vorschlagende und Organisatorin;Interaktive App, KI Anwendung;Senioren, Soziale Arbeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/senior-residenz-soziale-aktivitaeten-vorschlagende-und-organisatorin/810;;In Weiterentwicklung;Eine App schlägt vor, fördert, organisiert und unterstützt soziale Aktivitäten, die auf die individuellen Profile der Bewohner eines Seniorenheims zugeschnitten sind. Dies geschieht im Kontext der Einrichtungen und der lokalen Umgebung.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fr-ai-willig-ki-asisstent-fur-vereine/809;Fr-AI-willig: KI Asisstent für Vereine;KI Anwendung, Prozessautomatisierung;Verwaltung, Wissensmanagement;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fr-ai-willig-ki-asisstent-fur-vereine/809;;In Planung;Fr-AI-willig ist ein KI-unterstützter Chatbot, der Vereine bei der effizienten Verwaltung von Kommunikation, Terminen, Projekten, Finanzen und administrativen Aufgaben unterstützt. Er soll ehrenamtliche Führungskräfte entlasten und reibungslose Prozesse gewährleisten.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/speaksense-ai-diagnostics-a-voice-based-ai-solution-for-detecting-and-diagnosing-depression/807;SpeakSense AI Diagnostics: A voice-based AI solution for detecting and diagnosing depression.;KI Anwendung, Entscheidungsassistent, Datenanalyse, Sprach-Editor;Gesundheit, Mentale Gesundheit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/speaksense-ai-diagnostics-a-voice-based-ai-solution-for-detecting-and-diagnosing-depression/807;;In Planung;SpeakSense AI Diagnostics ist eine sprachbasierte KI-Anwendung, die Depressionen und suizidgefährdete Personen anhand von Sprachmustern und Stimmmerkmalen erkennt und diagnostiziert. Ziel ist es, die Gesundheitsversorgung zugänglicher und effizienter zu gestalten.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/karriere-ki-ckstart/805;Karriere-KI-ckstart;KI Anwendung, Entscheidungsassistent, Datenanalyse;Arbeit, Wissensmanagement;;Civic Coding;In Weiterentwicklung;Ein KI-basierter Chatbot unterstützt bei der Karriereentwicklung durch personalisierte Jobempfehlungen und beschleunigte Bewerbungsprozesse. Er hilft bei der Identifizierung von Stärken und Fähigkeiten sowie der Analyse relevanter Daten für den beruflichen Fortschritt.
