Projektname;Art;Einsatzbereich;Quelle;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Webseite-Link
GENERATION GERMANY;Festival und Studie, Datenerhebung, Datenanalyse, Bericht;Demokratie, Jugendarbeit, Jugendbeteiligung;https://www.generationgermany.de/presse/;Children for a better World e.V.;In Betrieb;GENERATION GERMANY ist ein Demokratiefestival und eine Jugendstudie, die sich der Demokratiebildung von Jugendlichen in Deutschland widmet. Es wird von Children for a better World e.V. initiiert und durchgeführt.;GenGer;https://www.generationgermany.de/
IFRC GO;Digitale Plattform, Datenanalyse, Monitoring, Dashboard, Visualisierung mit Karten, Offene Daten;Humanitäre Hilfe, Katastrophenschutz, International, Afrika;https://go.ifrc.org/;IFRC;In Betrieb;IFRC GO ist eine digitale Plattform, die Katastropheninformationen für IFRC-Einsatzkräfte weltweit zugänglich und nutzbar macht, um bessere Entscheidungen zu ermöglichen. Sie bietet einen Überblick über aktive Notfalleinsätze, Finanzierungsbedarfe und betroffene Populationen.;GO;https://go.ifrc.org/
TEN SING Gesamterhebung;Interne Datenanwendung, Output Monitoring, Reporting, Dashboard;Jugendarbeit, Vernetzung, Wirkungsmessung, Evaluation;https://civic-data.de/output-monitoring-ten-sing/;Christlicher Verein Junger Menschen, CDL;online - im Testbetrieb;TenSing ist ein Musikprojekt für Jugendliche und nutzt Daten aus qualitativen und quantitativen Teilnehmendenbefragungen effektiv für die Weiterentwicklung und Verstetigung des Programms. Die gesammelten Daten sollen mit Hilfe des Civic Data Lab in einem Dashboard visualisiert und analysiert werden.;;
BUNTER BALL;Bildung, Datenerhebung, Datenanalyse, Dokumentations- und Netzwerktool, Vernetzung;Arbeit mit Kindern, Chancengleichheit, Bildung, Kinderschutz, Soziale Arbeit, Sport, Partizipation, Nachhaltigkeit;https://insafehands.de;In safe hands e.V.;In Weiterentwicklung;Das Programm BUNTER BALL von In safe hands e.V. verbindet die Förderung sozial-emotionaler Kompetenzen von Grundschulkindern mit dem Sportunterricht. Es setzt sich für mehr Chancengerechtigkeit in der Bildung ein und trägt zur Erreichung der Sustainable Development Goals bei.;;https://insafehands.de, https://insafehands.de/bunterball/
R Wrapper for the Genesis API;Automatisierte Datenübermittlung, Datenanalyse, Datenstandards, Datensatz und Visualisierung, Offene Daten, Zugänglichkeit Offene Daten des Statistischen Bundesamts;Offene Daten, Verwaltung, Transparenz, Wissensmanagement;https://www.correlaid.org/daten-nutzen/projektdatenbank/2022-04-GER/;CorrelAid;In Weiterentwicklung;Das R-Paket 'restatis' verbessert und vereinheitlicht die Zugänglichkeit der Datenbanken des Statistischen Bundesamtes. Es ermöglicht eine optimale Datenverarbeitung, Analyse und Visualisierung.;restatis;https://cran.r-project.org/web/packages/restatis/index.html, https://github.com/CorrelAid/restatis
Paris Parking Demand Index;Datenanalyse, Visualisierung mit Karten, Dashboard, Interaktive Karte, Offene Daten;Stadtplanung, Umwelt, Nachhaltigkeit, Offene Daten;https://paris-bikes-wfiz3bgwsa-ew.a.run.app;CorrelAid, City of Paris;Im Testbetrieb;Der Paris Parking Demand Index visualisiert die Anzahl der vorhandenen Fahrradparkplätze in Paris im Verhältnis zu Nachfrageindikatoren. Er hilft zu bestimmen, wie adäquat Gebiete in Bezug auf Parkmöglichkeiten versorgt sind.;;https://paris-bikes-wfiz3bgwsa-ew.a.run.app/
Trinkbrunnen-Analyse;Interaktive Karte, Visualisierung mit Karten, Offene Daten;Umwelt, Stadt, Nachhaltigkeit;https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html;CorrelAid;In Betrieb;Eine interaktive Karte, die Trinkbrunnen in Deutschland visualisiert und Daten aus OpenStreetMap nutzt.;;https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html
Safeguarding Self-Audit;Interaktiver Fragebogen, Datenanalyse, Evaluierung;Kinderschutz, Sport, Evaluation;https://laureus.shinyapps.io/Safeinsport-selfaudit/;Laureus, ISFC (International Safeguards for Children in Sport);In Betrieb;Ein interaktives Online-Tool, das Organisationen ermöglicht, ihre Kinderschutzrichtlinien und -prozesse anhand internationaler Standards zu bewerten. Es bietet einen Selbst-Audit, um Lücken zu identifizieren und die Sicherheit von Kindern im Sport zu gewährleisten.;;https://laureus.shinyapps.io/Safeinsport-selfaudit/
Komunat - die Wirkung von Wahlentscheidungshilfen bei Kommunalwahlen;Plattform für Wahlentscheidungen, Interaktive App, Datenanalyse, Visualisierung, Bericht, Umfrage;Demokratie, Partizipation;https://www.correlaid.org/daten-nutzen/projektdatenbank/2020-01-KOM/;CorrelAid, VOTO gUG;online - in Betrieb;KOMUNAT war eine Wahlentscheidungshilfe für die Kommunalwahl in Stuttgart 2019, bei der Nutzer*innen Kandidat*innen basierend auf übereinstimmenden Einstellungen zu Statements ranken konnten. CorrelAid analysierte die Nutzungsdaten und fasste die Ergebnisse in einem Bericht und einer interaktiven Shiny-App zusammen.;KOMUNAT;
BeeObserver;Analyse von Sensordaten und ML, KI Anwendung, Monitoring;Umweltschutz, Nachhaltigkeit, Landwirtschaft;https://www.correlaid.org/daten-nutzen/projektdatenbank/2019-10-BEE/;CorrelAid, BeeObserver;In Betrieb;CorrelAid unterstützte die Citizen-Science-Initiative BeeObserver dabei, Sensordaten von Bienenstöcken mittels maschinellem Lernen auszuwerten und ein Alarmsystem für Imker*innen aufzubauen. Ziel ist es, Risiken und Gefahren für Honigbienen schneller zu erkennen und zu reduzieren.;BOB;
Akademie für selbstbestimmtes Altwerden und Praxisforschungsstelle;Umfrage, Datenerhebung, Datenanalyse, Visualisierung, Bericht;Senioren, Wohnen, Teilhabe, Wissensmanagement;https://www.correlaid.org/daten-nutzen/projektdatenbank/2020-03-DEN/;Denk-mal-Kultur e.V., CorrelAid;In Weiterentwicklung;Das Projekt zielt darauf ab, eine Akademie für selbstbestimmtes Altwerden und eine Praxisforschungsstelle im ländlichen Raum aufzubauen. CorrelAid unterstützte Denk-mal-Kultur e.V. dabei, das Interesse der Bevölkerung und relevanter Akteure mittels einer Umfrage zu ermitteln und die Ergebnisse in einem Bericht zusammenzufassen.;;
Datenvisualisierungen für illegale Pushbacks;Datenvisualisierung, Datenanalyse, Datenerhebung, Bericht, Output Monitoring;Geflüchtete, Menschenrechte, Migration, International;https://www.correlaid.org/daten-nutzen/projektdatenbank/2020-11-MAR/;Mare Liberum e. V., CorrelAid;In Betrieb;CorrelAid unterstützte Mare Liberum dabei, ihre Datenbank zu illegalen Pushbacks zu bereinigen und zu analysieren. Ziel war es, überzeugende Datenvisualisierungen für Advocacy, PR und Berichterstattung zu erstellen, um die Sichtbarkeit und Aufmerksamkeit für Menschenrechtsverletzungen im Mittelmeer zu erhöhen.;;
Teresa.AI;KI Anwendung, Interaktive App, Entscheidungsassistent, Large Language Model (LLM);Soziale Arbeit, Beratung, Wohlfahrt, Wissensmanagement;https://teresa.ai/;teresa.ai GmbH;In Weiterentwicklung;Teresa.AI ist eine einfach bedienbare und sichere KI-Anwendung, die speziell für die soziale Arbeit entwickelt wurde, um Sozialarbeiter*innen bei ihrer täglichen Arbeit zu unterstützen.;;https://teresa.ai/
Inclusio.ai;KI-Anwendung, LLM;Kinder- und Jugendhilfe, Wissensmanagement;https://inklusio.ai/;Bundesverband Caritas Kinder- und Jugendhilfe (BVkE);Unbekannt;;;
all.txt;Sprach-Editor, KI Anwendung, Bericht;Chancengleichheit, Gleichberechtigung, Gleichstellung, Inklusion, Antidiskriminierung, Queere Sichtbarkeit;https://www.all-txt.de/;VQ UG (haftungsbeschränkt);Im Testbetrieb;all.txt ist ein inklusiver Schreibassistent, der bei der gendergerechten Verfassung und Überprüfung von Texten unterstützt. Er bietet Vorschläge für geschlechtsneutrale Ausdrücke, Neo-Pronomen und Berichte, um eine inklusive Kultur und Talentakquise zu fördern.;;https://www.all-txt.de/
Wheelmap;Datenanwendung für die Öffentlichkeit, interaktive Karte/ Verzeichnis, Crowd-Sourced Daten;Inklusion, Menschen mit Behinderung;https://news.wheelmap.org;Sozialhelden;Unbekannt;Die Sozialheld*innen stellen mit der Wheelmap eine interaktive Karte für das Finden rollstuhlgerechter Orte zur Verfügung. Alle können mitmachen und die Rollstuhlgerechtigkeit von öffentlich zugänglichen Orten bewerten – weltweit. Alle Informationen stehen als offener Datensatz zur Verfügung.;;
Chatty Maps;Datenanalyse, Datenerhebung, Datenstandards, Visualisierung mit Karten, Interaktive Karte, Entscheidungsassistent;Stadt, Stadtplanung, Umwelt;https://goodcitylife.org/chattymaps/project.php;Nokia Bell Labs, Turin University, Goodcitylife.org;In Betrieb;Chatty Maps ist ein Projekt, das eine Methode zur Erstellung von Klangkarten städtischer Gebiete aus georeferenzierten Social-Media-Bild-Tags vorschlägt. Es erfasst angenehme und unangenehme Geräusche, untersucht die Beziehung zwischen Klanglandschaften und Emotionen und kartiert Bereiche nach ihrer Geräuschwahrnehmung.;;https://goodcitylife.org/chattymaps/project.php, https://goodcitylife.org/chattymaps/index.php
Trinkbrunnen-Analyse;Interaktive Karte, Visualisierung mit Karten, Datenanalyse;Stadt, Umwelt, Nachhaltigkeit, Offene Daten;https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html;CorrelAid;In Betrieb;Das Projekt visualisiert die Standorte von Trinkbrunnen in Deutschland auf einer interaktiven Karte. Es dient der Analyse und Darstellung dieser öffentlichen Infrastruktur.;;
LUPAI: Intelligente Unterstützung für Bürokratie und Recht;KI Anwendung, Digitale Plattform, Interaktive App, Large Language Model (LLM), Datenanalyse, Vernetzungsassistent, Sprach-Editor;Migration, Arbeit, Beratung, Verwaltung, Integration, Geflüchtete, Demokratie, Partizipation, Frauen, Queere Sichtbarkeit, Gleichberechtigung, Wohnen, Gesundheit, Barrierefreiheit, Transparenz;https://www.civic-innovation.de/community-information/projektfoerderungs/lup-ai-intelligente-unterstuetzung-fuer-buerokratie-und-recht;Bildungszentrum Lohana Berkins des gemeinnützigen Vereins Plan:B e. V., aureka;In Weiterentwicklung;LUPAI ist eine KI-basierte mobile Webanwendung, die Menschen mit Migrations- und Fluchterfahrung den selbstständigen Zugang zu Informationen über rechtliche Rahmenbedingungen und administrative Abläufe im Bereich Migration und Arbeit erleichtert. Sie nutzt KI-Technologien wie Large Language Models für intelligente Suche, einfache Erklärungen und zur Vernetzung mit Fachleuten und Organisationen.;LUPAI;
FörderFunke;Datenanwendung für Öffentlichkeit, Entscheidungsassistent, Interaktiver Fragebogen, Offene Daten, Digitale Plattform;Wohlfahrt, Teilhabe, Barrierefreiheit;https://foerderfunke.org/;FörderFunke, NGI Search, Prototype Fund, BMBF, EU;In Weiterentwicklung;FörderFunke hilft deutschen Bürgern, öffentliche Förderprogramme wie Kindergeld zu finden und zu beantragen. Das Projekt macht Sozialleistungen in Deutschland zugänglich und leicht verständlich, indem es den Anspruch prüft und Informationen bereitstellt.;;https://foerderfunke.org/
Das steht dir zu;Digitale Plattform, Datenanwendung für Öffentlichkeit, Entscheidungsassistent, KI Anwendung, Reporting;Soziale Arbeit, Beratung, Armut, Senioren, Kinder- und Jugendhilfe, Eltern, Geflüchtete, Wohnen, Migration, Teilhabe;https://www.das-steht-dir-zu.de/;Caritas in NRW und die Caritas- und Fachverbände in Nordrhein-Westfalen;In Betrieb;Das steht dir zu ist ein Informationsportal der Caritas in NRW, das umfassend über Sozialleistungen wie Bürgergeld, Wohngeld und Kindergeld informiert. Es bietet praktische Tools wie einen Bürgergeld-Rechner und einen KI-Chat zur Unterstützung bei der Beantragung von Leistungen.;;https://www.das-steht-dir-zu.de/start/, http://ki-chat.das-steht-dir-zu.de/, https://www.das-steht-dir-zu.de/arbeit/buergergeld/der-buergergeld-rechner/
Kommuki;Digitale Plattform, KI Anwendung, Offene Daten, Datenanalyse, Interaktiver Fragebogen, Datensatz und Visualisierung;Jugendbeteiligung, Demokratie, Partizipation, Stadtplanung, Umwelt, Soziale Arbeit, Bildung, Integration, Gesundheit, Verwaltung;https://kommuki.de;Politik zum Anfassen e.V., Gemeinnützige Hertie-Stiftung, Civic Data Lab, Syndicats;In Betrieb;Kommuki ist eine digitale Plattform, die Ideen und Ergebnisse aus Bürger- und Jugendbeteiligungen sammelt und zugänglich macht. Sie ermöglicht Nutzern, diese Daten zu durchsuchen, Fragen zu stellen und für Forschung oder politische Entscheidungen zu nutzen.;;https://kommuki.de/
 Visualisierung von Donor Journeys in CiviCRM;Datenvisualisierung, Open Source, interne Datenanwendung;Fundraising;https://Daten für den Aufbau von Beziehungen - CiviCRM als Fundraising-Tool • Civic Data Lab;;Unbekannt;Die Open Source Software CiviCRM bietet viele Funktionen, die für die Arbeit gerade von kleinen und mittleren zivilgesellschaftlichen Organisationen unerlässlich sind – zum Beispiel für das Fundraising. Das Civic Data Lab entwickelt gemeinsam mit der CiviCRM Community einen Prototyp für eine Extension, die Scoring und Segmentierung von Spendenden beschleunigt. So wird die Donor Journey transparenter und besser begleitbar. Kick-Off zur Idee für die Extension war ein Gemeinsam Machen Workshop des CDL.;;
K(l)ein Geld für Demokratie?!;Open Data, Web Scraping, Textklassifizierung;Demokratie;https://K(l)ein Geld für Demokratie?! Demokratieförderung - AWO;AWO;Unbekannt;Wie viel ist der Bundesregierung die Demokratieförderung wert? Der AWO Bundesverband sammelt Daten, um das mit einer konkreten Zahl zu unterlegen. Doch zu ermitteln, wie viele Bundesförderprogramme welche Summen für die verschiedenen Aspekte der Demokratieförderung bereitstellen, ist gar nicht so leicht. Das Civic Data Lab unterstützt mit Webscraping, Textklassifizierung und Named-Entity Recognition. ;;
KI im Ehrenamt - Auswertung einer Umfrage;Umfrage, Datenanalyse, Bericht;KI, Wohlfahrt, Soziale Arbeit;https://civic-data.de/machen/ki_im_ehrenamt_auswertung_einer_umfrage/;Civic Data Lab, digital verein(t);In Betrieb;Das Projekt „KI im Ehrenamt“ ist eine Auswertung einer Umfrage zur Nutzung von Künstlicher Intelligenz in Vereinen. Das Civic Data Lab hat diese Umfrage in Zusammenarbeit mit digital verein(t) durchgeführt und die Ergebnisse veröffentlicht.;;https://civic-data.de/machen/ki_im_ehrenamt_auswertung_einer_umfrage/
Datenmanagement bei Terre des Hommes;Datenmanagement, Automatisierte Datenübermittlung, Datenerhebung, Datenanalyse, Wirkungsmessung;Humanitäre Hilfe, International, Kinder- und Jugendhilfe, Wirkungsmessung, Wissensmanagement;https://civic-data.de/datenmanagement-bei-ngos/;Terre des Hommes, Civic Data Lab;In Weiterentwicklung;Terre des Hommes baut in Zusammenarbeit mit dem Civic Data Lab ein weltweites Datenmanagementsystem auf. Ziel ist es, die Datenerhebung aus über 400 Projekten in 44 Ländern zu systematisieren und die strategische Wirkungsmessung zu verbessern.;;
 A Thousand Channels;Datenanwendung für Öffentlichkeit, interaktive Karte, Map to go, Crowd-Sourced Daten;Queere Sichtbarkeit, AntiDiskriminierung, Teilhabe;https://A thousand channels;;Unbekannt;A 1000 channels ist eine queere Mappingplattform, mit der queere Narrationen leicht zugänglich auf einer Karte visualisiert und veröffentlicht werden können. So können queeren Akteur*innen, Gruppen und Projekte ihre Räume und Aktivitäten sichtbar machen. Das Civic Data Lab unterstützt das ehrenamtliche Team bei der Weiterentwicklung ihrer Plattform.;;
Schule ein Gesicht geben e.V;Datenanwendung für Öffentlichkeit, Digitale Plattform;Jugendbeteiligung, Partizipation, Wissensmanagement;https://civic-data.de/schule-ein-gesicht-geben/;Schule ein Gesicht geben e.V;In Weiterentwicklung;"Das Datenvorhaben von ""Schule ein Gesicht geben e.V."" vereinfacht den Zugang zu Wissen und erleichtert Schüler*innen die Mitbestimmung im Schulalltag.";;https://civic-data.de/schule-ein-gesicht-geben/
Sunflower Care;Chatbot, Plattformentwicklung;Geflüchtete, Beratung, Teilhabe;https://Sunflower Care;sunflower care e.V.;Unbekannt;Sunflower care e.V. unterstützt Menschen, die vor dem Krieg aus der Ukraine nach Deutschland fliehen mussten. Auch nach dem Ankommen in Deutschland bleibt Beratungsbedarf und dafür wird die Peer-Onlineberatungsplattform We Care entwickelt. Beratende haben oft selbst Migrations- und Fluchtgeschichten und geben ihr Wissen direkt weiter – wo sie nicht selbst Bescheid wissen, recherchiert ein Chatbot Informationen zum Leben in Deutschland. Diesen stellt das Civic Data Lab mit Partnern von aureka zur Verfügung.;;https://Sunflower Care
[U25] Mailberatung und Hilfe für Jugendliche mit Suizidgedanken;Beratung, Digitale Plattform;Mentale Gesundheit, Jugendhilfe, Kinderschutz, Beratung;https://[U25] Mailberatung und Hilfe für Jugendliche mit Suizidgedanken;Deutscher Cariatsverband;Unbekannt;Dieses Projekt bietet Mailberatung und Hilfe für Jugendliche, die Suizidgedanken haben. Es ist eine digitale Anlaufstelle für junge Menschen in Krisensituationen.;[U25];
Beratungsführer online;Verzeichnis / Karte, Datenanwendung für Öffentlichkeit;Beratung, Jugendarbeit;https://www.dajeb.de/beratungsfuehrer-online/beratung-in-ihrer-naehe;Deutsche Arbeitsgemeinschaft für Jugend- und Eheberatung e.V. (DAJEB);In Betrieb;Der „Beratungsführer online“ der DAJEB hilft Nutzern, Beratungsstellen in ihrer Nähe zu finden. Es bietet eine Übersicht über lokale, telefonische und Internet-Beratungsangebote.;;https://www.dajeb.de/beratungsfuehrer-online/beratung-in-ihrer-naehe
Bewertung der Bodenqualität;Analyse von Sensordaten und ML, KI Anwendung, Datenanalyse, Datenerhebung, Entscheidungsassistent;Landwirtschaft, Nachhaltigkeit, Umwelt, Armut, International;https://de.mi4people.org/soil-quality-evaluation-system;MI4People gGmbH;In Planung;Das Projekt entwickelt ein kostenloses KI-System, das LandwirtInnen in Entwicklungsregionen Einblicke in die Qualität ihres Bodens gibt. Dies soll dazu beitragen, Ernteerträge zu steigern, eine nachhaltige Nahrungsmittelversorgung zu gewährleisten und Hungersnöte zu verhindern.;;https://de.mi4people.org/soil-quality-evaluation-system
CoVision;KI Anwendung, Analyse von Sensordaten und ML, Interaktive App, Datenerhebung, Datenanalyse, Offene Daten;Barrierefreiheit, Gesundheit, Inklusion, Menschen mit Behinderung;https://de.mi4people.org/covision;MI4People, InnovationLab der Stadt München, Bayerischer Blinden- und Sehbehindertenbund, TUM.ai;In Weiterentwicklung;CoVision ist ein KI-basiertes Klassifikationssystem, das sehbehinderten und blinden Menschen ermöglicht, CoVid-Schnelltests selbstständig mit mobilen Geräten auszuwerten. Dies erhöht den Komfort und die Privatsphäre für diese Personengruppe und macht die Tests zugänglicher.;;https://covision.app/
Künstliche Intelligenz für seltene Kinderkrankheiten;KI Anwendung, Digitale Plattform, Datenanalyse, Entscheidungsassistent, Large Language Model (LLM);Gesundheit, KI, Kinder, Mentale Gesundheit, Medizin, Prävention, Soziale Arbeit;https://de.mi4people.org/artificialintelligenceforpediatricrarediseases;MI4People, Care for Rare Foundation, Dr. von Haunersches Kinderspital (Ludwig-Maximilians-Universität München);In Weiterentwicklung;Das Projekt entwickelt eine dezentrale KI-Plattform, um Kinder mit seltenen Krankheiten effizienter, gezielter und individueller zu unterstützen. Es zielt darauf ab, Diagnosen und Behandlungen durch die Analyse medizinischer Daten zu verbessern und die Zeit bis zur Diagnose zu minimieren.;;https://de.mi4people.org/artificialintelligenceforpediatricrarediseases
HOPE - KI und Data Science für personalisierte Suchtbehandlung;KI Anwendung, Datenanalyse, Entscheidungsassistent, Interne Datenanwendung;Gesundheit, Mentale Gesundheit;https://de.mi4people.org/hope;MI4People, Therapieverbund Ludwigsmühle;In Planung;Das Projekt HOPE nutzt KI und Data Science, um die Suchtbehandlung zu personalisieren. Es soll Therapeuten bei der Erstellung von Behandlungsplänen unterstützen und Hilfesuchenden helfen, passende Therapieeinrichtungen zu finden.;HOPE;https://de.mi4people.org/hope
SUSTAIN-AI ECG;Analyse von Sensordaten und ML, KI Anwendung, Entscheidungsassistent, Digitale Plattform;Gesundheit, Afrika, International;https://de.mi4people.org/sustain-ai-ecg;MI4People, Armauer Hansen Research Institute (AHRI), Technische Hochschule Mittelhessen (THM), Bayerische Staatskanzlei;In Planung;SUSTAIN-AI ECG ist ein webbasiertes, KI-gestütztes System zur Analyse von 12-Kanal-EKG-Daten, um 10 wichtige Herzrisikofaktoren zu erkennen. Es soll medizinisches Fachpersonal in unterversorgten Regionen wie Äthiopien bei der Früherkennung von Herz-Kreislauf-Erkrankungen unterstützen.;;https://de.mi4people.org/sustain-ai-ecg
Virtual Disaster;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Entscheidungsassistent, Interaktive Karte, KI Anwendung, Monitoring, Visualisierung mit Karten;Katastrophenschutz, Rettungsdienst, Gesundheit;https://virtualdisaster.de/;Berufsfeuerwehr Aachen, RWTH Aachen, TEMA Technologie Marketing AG;Eingestellt;Virtual Disaster ist ein Forschungsprojekt, das Drohnen mit 360°-Kameras und Laser-Abstandsmessern nutzt, um ein virtuelles Abbild von Großschadenslagen zu erstellen. Dies ermöglicht Tele-Einsatzleitern, sich mithilfe von Virtual Reality ein frühzeitiges Bild der Lage zu machen und Rettungskräfte vor Ort effizient zu unterstützen.;;https://virtualdisaster.de/
AIceberg - eine wertebasierte KI-Lernassistenz;KI Anwendung;Inklusion, Teilhabe, Antidiskriminierung, Gleichberechtigung;https://www.decentrale.co/projekte-und-kooperationen/unsere-projekte/;Decentrale;;;;
Cemas (Center für Monitoring, Analyse und Strategie);Daten und Studien über Hass und Angriffe auf Pride-Paraten und CSDs (aus: : https://www.spiegel.de/panorama/afd-und-queere-als-feindbild-rechtsextreme-angriffe-auf-lgbtqia-nehmen-zu-a-c1450602-621a-4969-a636-52d8e399371e?giftToken=31acd377-8c20-4000-b249-defce6a9b66a);Queere Sichtbarkeit, AntiDiskriminierung, Teilhabe;CeMAS - Center für Monitoring, Analyse und Strategie;CeMAS - Center für Monitoring, Analyse und Strategie;Unbekannt;;;
Effiziente und mitarbeitendenfreundliche Routenplanung in der ambulanten Pflege;KI-Anwendung, maschinelles Lernen;Pflege;https://digital.awo.org/wp-content/uploads/2023/10/Themenpapier-Wohfalhrt-und-Daten-2-Impulse-fu%CC%88r-die-Pflege.pdf;AWO;Unbekannt;;;
Die Verwaltung entlasten & Fehler reduzieren durch Automatisierung;Reporting, Datenstandards, automatisierte Datenübermittlung;Wohlfahrt, Verwaltung;https://digital.awo.org/wp-content/uploads/2023/10/Themenpapier-Wohfalhrt-und-Daten-2-Impulse-fu%CC%88r-die-Pflege.pdf;AWO;Unbekannt;;;
Höhere Qualität durch datengestützte Pflege;KI-Anwendung;Pflege;https://digital.awo.org/wp-content/uploads/2023/10/Themenpapier-Wohfalhrt-und-Daten-2-Impulse-fu%CC%88r-die-Pflege.pdf;AWO;Unbekannt;;;
Forschungsdatenzentrum des Forschungsinstituts Gesellschaftlicher Zusammenhalt;Datenportal, Datenerhebung, Datenanalyse, Datensatz und Visualisierung, Monitoring, Bericht, Interaktive App;Demokratie, Soziale Arbeit, Wissensmanagement, International, Partizipation;https://fgz-risc-data.de/;Forschungsinstitut Gesellschaftlicher Zusammenhalt, Universität Bremen, RatSWD, Qualiservice;In Weiterentwicklung;Das Forschungsdatenzentrum des FGZ entwickelt eine Dateninfrastruktur zur Analyse des gesellschaftlichen Zusammenhalts. Es sammelt, archiviert und stellt quantitative und qualitative Daten für die wissenschaftliche Nutzung sowie interaktive Tools und Berichte zur Verfügung.;FDZ-FGZ;https://fgz-risc-data.de/
Datenportal für die Rassismus- und Rechtsextremismusforschung;Datenanalyse, Datenerhebung, Datensatz und Visualisierung, Digitale Plattform, Interaktive App, Offene Daten;Antidiskriminierung, Antirassismus, Demokratie, Forschung, Offene Daten;https://www.dezim-institut.de/projekte/projekt-detail/datenportal-fuer-die-rassismus-und-rechtsextremismusforschung-dp-r-ex-4-11/;GESIS, Qualiservice an der Universität Bremen, Hans-Bredow-Institut, DeZIM;Eingestellt;Das Projekt DP-R|EX verbessert die Forschungsdateninfrastruktur für die Rassismus- und Rechtsextremismusforschung. Es entwickelt ein Metadatenschema, Prozesse für die föderierte Archivierung und einen „Data Explorer“, der Nutzern das Generieren von Verteilungen aus Datensätzen ermöglicht.;DP-R|EX;https://www.gesis.org/forschung/drittmittelprojekte/details/project/187/datenportal-fuer-die-rassismus-und-rechtsextremismusforschung
ACTIVATE bei Diabetes;Digitale Plattform;Telemedizin;https://pubmed.ncbi.nlm.nih.gov/37201542/;CITRIS Health, USA;Unbekannt;;;
Analyse- und Recherche-Software zur KI-gestützten Analyse antidemokratischer Bewegungen online (ARAI);KI Anwendung, Datenanalyse, Digitale Plattform;Demokratie, Menschenrechte, Transparenz;https://www.htw-berlin.de/forschung/online-forschungskatalog/projekte/projekt/?eid=3606;Hochschule für Technik und Wirtschaft Berlin;Unbekannt;Das Projekt ARAI entwickelt eine KI-gestützte Analyse- und Recherche-Software, um antidemokratische Bewegungen im Internet zu identifizieren und zu analysieren.;ARAI;
Prozessdigitalisierung bei der Sächsischen Jugendstiftung;Digitale Workflows, Datenkultur;Jugendarbeit, Teilhabe, Ehrenamt;https://genialsozial - Sächsische Jugendstiftung;Sächsische Jugendstiftung;Unbekannt;Beim jährlichen Aktionstag genialsozial der Sächsischen Jugendstiftung engagieren sich viele tausend Schüler*innen, indem sie den Lohn eines freiwilligen Arbeitstages spenden. Um den Verwaltungsaufwand für Anmeldung und Abrechnung zwischen Verein und Schulen zu bewältigen, wurde ein digitales Formular entwickelt, das bisher noch zu wenig angenommen wird. Gemeinsam stärken wir die Akzeptanz für digitale Prozesse und schaffen eine gute Basis für die automatisierte Nutzung von Daten. Zugleich wird ein Verfahren zur Digitalisierung von Handschriften (Computer Vision) geprüft.;;https://genialsozial - Sächsische Jugendstiftung
